arm,precision,metric,n,value_us,compile_ms,aa_ratio,flops
CPU Intel Xeon Platinum 8462Y+,f64,forward_1gal,1,267.771,750.96,1.057,651885
CPU Intel Xeon Platinum 8462Y+,f64,gradient_1gal,1,517.509,1297.24,1.099,1770186
CPU Intel Xeon Platinum 8462Y+,f64,map_fit_warm,300,133800.0,8091.100000000001,,
CPU Intel Xeon Platinum 8462Y+,f64,batch_forward,1,301.767,1209.07,1.069,
CPU Intel Xeon Platinum 8462Y+,f64,batch_gradient,1,645.759,,1.009,
CPU Intel Xeon Platinum 8462Y+,f64,batch_forward,8,74.6009,679.3,1.099,
CPU Intel Xeon Platinum 8462Y+,f64,batch_gradient,8,222.5935,,1.056,
CPU Intel Xeon Platinum 8462Y+,f64,batch_forward,32,45.5306,576.34,1.007,
CPU Intel Xeon Platinum 8462Y+,f64,batch_gradient,32,147.1084,,1.051,
CPU Intel Xeon Platinum 8462Y+,f64,batch_forward,128,34.9424,568.2,1.055,
CPU Intel Xeon Platinum 8462Y+,f64,batch_gradient,128,170.49,,1.077,
CPU Intel Xeon Platinum 8462Y+,f64,batch_forward,512,42.8904,715.21,1.081,
CPU Intel Xeon Platinum 8462Y+,f64,batch_gradient,512,165.0528,,1.032,
CPU Intel Xeon Platinum 8462Y+,f64,batch_forward,2048,42.3925,655.21,1.083,
CPU Intel Xeon Platinum 8462Y+,f64,batch_gradient,2048,171.8388,,1.072,
CPU Intel Xeon Platinum 8462Y+,f64,throughput,1000,45.9615,1007.13,,21757.3
CPU Intel Xeon Platinum 8462Y+,f64,throughput,1000000,45.7066,1007.13,,21878.7
CPU Intel Xeon Platinum 8462Y+,f32,forward_1gal,1,237.341,889.39,1.011,673980
CPU Intel Xeon Platinum 8462Y+,f32,gradient_1gal,1,433.049,1553.41,1.03,2178199
CPU Intel Xeon Platinum 8462Y+,f32,map_fit_warm,300,118000.0,6418.400000000001,,
CPU Intel Xeon Platinum 8462Y+,f32,batch_forward,1,194.945,850.27,1.065,
CPU Intel Xeon Platinum 8462Y+,f32,batch_gradient,1,459.363,,1.026,
CPU Intel Xeon Platinum 8462Y+,f32,batch_forward,8,65.0355,929.16,1.024,
CPU Intel Xeon Platinum 8462Y+,f32,batch_gradient,8,134.194,,1.038,
CPU Intel Xeon Platinum 8462Y+,f32,batch_forward,32,28.4656,529.3,1.012,
CPU Intel Xeon Platinum 8462Y+,f32,batch_gradient,32,68.862,,1.06,
CPU Intel Xeon Platinum 8462Y+,f32,batch_forward,128,17.6886,553.25,1.02,
