# Wavelength(Angstrom)  Transmission
4.278800e+05  1.851600e-03
4.316200e+05  4.723100e-04
4.354100e+05  1.748900e-03
4.392800e+05  0.000000e+00
4.432100e+05  0.000000e+00
4.472100e+05  3.667500e-03
4.512900e+05  9.534100e-03
4.554400e+05  2.233300e-02
4.596700e+05  4.143300e-02
4.639800e+05  8.209100e-02
4.683700e+05  1.062900e-01
4.728500e+05  1.182000e-01
4.774100e+05  1.264400e-01
4.820600e+05  1.265800e-01
4.868000e+05  1.472400e-01
4.916300e+05  1.345700e-01
4.965600e+05  1.079200e-01
5.016000e+05  6.876300e-02
5.067300e+05  3.865500e-02
5.119700e+05  4.264600e-02
5.173200e+05  7.500000e-02
5.227900e+05  1.728700e-01
5.283700e+05  2.814000e-01
5.340700e+05  2.154500e-01
5.398900e+05  1.852100e-01
5.458500e+05  2.388500e-01
5.519300e+05  2.946400e-01
5.581600e+05  4.009400e-01
5.645200e+05  4.614100e-01
5.710300e+05  5.733300e-01
5.777000e+05  5.957100e-01
5.845200e+05  5.927300e-01
5.915100e+05  5.364200e-01
5.986600e+05  5.649900e-01
6.059900e+05  5.734500e-01
6.135000e+05  6.349100e-01
6.212000e+05  7.332900e-01
6.290900e+05  9.674900e-01
6.371900e+05  9.723100e-01
6.455000e+05  9.846500e-01
6.540300e+05  1.014400e+00
6.627900e+05  9.980400e-01
6.717800e+05  9.991200e-01
6.810300e+05  1.067500e+00
6.905300e+05  1.094000e+00
7.003000e+05  1.098100e+00
7.103500e+05  1.083700e+00
7.206900e+05  9.844200e-01
7.313400e+05  8.755500e-01
7.423000e+05  7.529500e-01
7.536100e+05  5.874500e-01
7.652600e+05  4.152100e-01
7.772700e+05  4.294400e-01
7.896700e+05  3.306900e-01
8.024800e+05  1.693200e-01
8.157000e+05  9.851500e-02
8.293700e+05  5.102500e-02
8.435000e+05  1.844400e-02
8.581200e+05  4.041200e-03
8.732600e+05  2.652300e-03
8.889500e+05  4.507500e-03
9.052000e+05  4.545600e-03
9.220600e+05  1.540600e-03
