# Wavelength(Angstrom)  Transmission
1.052600e+06  0.000000e+00
1.058300e+06  5.224900e-05
1.063900e+06  1.036700e-04
1.069700e+06  2.506000e-04
1.075500e+06  4.908600e-04
1.081400e+06  6.957600e-04
1.087300e+06  1.454500e-03
1.093300e+06  3.775200e-03
1.099400e+06  8.419100e-03
1.105500e+06  1.692200e-02
1.111700e+06  3.175800e-02
1.118000e+06  5.931000e-02
1.124400e+06  1.059700e-01
1.130800e+06  1.570300e-01
1.137300e+06  1.705300e-01
1.143800e+06  2.153500e-01
1.150500e+06  3.096200e-01
1.157200e+06  3.651500e-01
1.164000e+06  3.732900e-01
1.170900e+06  4.042200e-01
1.177900e+06  3.919400e-01
1.184900e+06  4.209400e-01
1.192100e+06  4.456200e-01
1.199300e+06  4.573500e-01
1.206600e+06  4.729400e-01
1.214000e+06  4.374800e-01
1.221500e+06  4.882700e-01
1.229100e+06  5.383000e-01
1.236700e+06  5.841400e-01
1.244500e+06  5.726600e-01
1.252400e+06  5.971100e-01
1.260300e+06  7.213400e-01
1.268400e+06  7.517900e-01
1.276600e+06  7.510400e-01
1.284900e+06  7.577800e-01
1.293300e+06  7.904800e-01
1.301800e+06  8.377400e-01
1.310400e+06  8.316800e-01
1.319100e+06  8.097800e-01
1.328000e+06  7.498100e-01
1.336900e+06  7.643900e-01
1.346000e+06  8.634100e-01
1.355200e+06  8.881500e-01
1.364600e+06  8.802700e-01
1.374000e+06  8.416300e-01
1.383600e+06  8.694700e-01
1.393400e+06  9.127100e-01
1.403300e+06  1.038000e+00
1.413300e+06  1.094500e+00
1.423400e+06  1.043500e+00
1.433700e+06  1.128400e+00
1.444200e+06  1.139700e+00
1.454800e+06  1.168800e+00
1.465600e+06  1.204100e+00
1.476500e+06  1.191400e+00
1.487600e+06  1.263900e+00
1.498900e+06  1.231000e+00
1.510300e+06  1.190400e+00
1.521900e+06  1.090700e+00
1.533700e+06  1.057200e+00
1.545700e+06  1.070300e+00
1.557800e+06  1.045900e+00
1.570200e+06  1.044500e+00
1.582700e+06  9.534000e-01
1.595500e+06  8.366800e-01
1.608400e+06  7.502300e-01
1.621600e+06  6.928300e-01
1.635000e+06  6.593000e-01
1.648600e+06  6.184600e-01
1.662500e+06  5.955200e-01
1.676500e+06  5.942900e-01
1.690900e+06  5.685900e-01
1.705400e+06  5.525400e-01
1.720200e+06  5.383100e-01
1.735300e+06  5.535900e-01
1.750700e+06  6.287500e-01
1.766300e+06  6.084600e-01
1.782200e+06  4.286800e-01
1.798400e+06  3.143500e-01
1.814800e+06  2.919500e-01
1.831600e+06  3.128400e-01
1.848700e+06  3.215100e-01
1.866200e+06  2.514700e-01
1.883900e+06  1.782400e-01
1.902000e+06  1.363300e-01
1.920500e+06  1.150600e-01
1.939300e+06  9.272800e-02
1.958500e+06  7.809800e-02
1.978000e+06  6.599000e-02
1.998000e+06  5.358700e-02
2.018300e+06  4.196600e-02
2.039100e+06  2.679100e-02
2.060400e+06  1.699200e-02
2.082000e+06  8.450000e-03
2.104100e+06  2.721900e-03
2.126700e+06  0.000000e+00
2.149800e+06  0.000000e+00
2.173400e+06  0.000000e+00
2.197600e+06  0.000000e+00
2.222200e+06  0.000000e+00
