# Wavelength(Angstrom)  Transmission
4.278800e+05  6.807800e-04
4.316200e+05  1.006300e-03
4.354100e+05  1.424100e-03
4.392800e+05  2.150400e-03
4.432100e+05  2.824500e-03
4.472100e+05  4.346100e-03
4.512900e+05  6.967500e-03
4.554400e+05  1.062300e-02
4.596700e+05  1.926300e-02
4.639800e+05  3.344700e-02
4.683700e+05  4.302400e-02
4.728500e+05  4.604900e-02
4.774100e+05  4.604100e-02
4.820600e+05  5.537100e-02
4.868000e+05  5.634500e-02
4.916300e+05  4.364200e-02
4.965600e+05  4.003100e-02
5.016000e+05  2.331300e-02
5.067300e+05  1.279500e-02
5.119700e+05  1.535300e-02
5.173200e+05  3.334800e-02
5.227900e+05  7.668600e-02
5.283700e+05  9.744200e-02
5.340700e+05  6.945100e-02
5.398900e+05  7.004700e-02
5.458500e+05  8.803400e-02
5.519300e+05  1.162300e-01
5.581600e+05  1.409000e-01
5.645200e+05  1.679600e-01
5.710300e+05  2.065000e-01
5.777000e+05  2.060800e-01
5.845200e+05  1.887200e-01
5.915100e+05  1.932600e-01
5.986600e+05  1.910000e-01
6.059900e+05  2.013600e-01
6.135000e+05  2.203100e-01
6.212000e+05  2.630800e-01
6.290900e+05  3.273700e-01
6.371900e+05  3.522300e-01
6.455000e+05  3.483200e-01
6.540300e+05  3.645300e-01
6.627900e+05  3.313600e-01
6.717800e+05  4.069900e-01
6.810300e+05  4.244900e-01
6.905300e+05  4.464500e-01
7.003000e+05  4.727100e-01
7.103500e+05  4.785600e-01
7.206900e+05  5.123900e-01
7.313400e+05  4.945200e-01
7.423000e+05  4.661900e-01
7.536100e+05  4.199700e-01
7.652600e+05  5.159000e-01
7.772700e+05  5.032100e-01
7.896700e+05  5.131000e-01
8.024800e+05  5.413300e-01
8.157000e+05  6.993600e-01
8.293700e+05  8.572700e-01
8.435000e+05  9.668500e-01
8.581200e+05  1.014400e+00
8.732600e+05  1.002300e+00
8.889500e+05  9.878100e-01
9.052000e+05  9.995100e-01
9.220600e+05  1.014200e+00
9.395700e+05  1.052100e+00
9.577500e+05  1.147600e+00
9.766400e+05  1.162700e+00
9.963000e+05  1.199500e+00
1.016800e+06  1.205200e+00
1.038100e+06  1.074200e+00
1.060300e+06  8.527100e-01
1.083500e+06  5.305500e-01
1.107800e+06  2.651800e-01
1.133100e+06  1.501600e-01
1.159700e+06  7.550200e-02
1.187500e+06  3.390000e-02
1.216700e+06  1.474400e-02
1.247400e+06  5.248700e-03
1.279600e+06  1.558800e-03
1.313600e+06  8.304300e-04
