# Wavelength(Angstrom)  Transmission
1.186600e+05  9.202200e-04
1.187960e+05  1.054400e-03
1.189330e+05  1.196000e-03
1.190690e+05  1.195900e-03
1.192060e+05  1.160800e-03
1.193430e+05  1.239300e-03
1.194810e+05  1.450900e-03
1.196180e+05  1.739500e-03
1.197570e+05  1.922600e-03
1.198950e+05  1.925600e-03
1.200340e+05  1.988700e-03
1.201730e+05  2.225200e-03
1.203120e+05  2.473300e-03
1.204520e+05  2.648400e-03
1.205920e+05  2.892800e-03
1.207320e+05  3.327500e-03
1.208730e+05  3.835400e-03
1.210140e+05  4.354900e-03
1.211560e+05  4.877300e-03
1.212970e+05  5.390600e-03
1.214390e+05  5.911900e-03
1.215820e+05  6.531800e-03
1.217240e+05  7.316900e-03
1.218670e+05  8.226800e-03
1.220110e+05  9.208300e-03
1.221550e+05  1.031300e-02
1.222990e+05  1.154700e-02
1.224430e+05  1.285200e-02
1.225880e+05  1.438400e-02
1.227330e+05  1.630700e-02
1.228780e+05  1.847000e-02
1.230240e+05  2.076200e-02
1.231700e+05  2.355500e-02
1.233160e+05  2.683700e-02
1.234630e+05  3.052300e-02
1.236100e+05  3.473600e-02
1.237580e+05  3.965700e-02
1.239060e+05  4.532200e-02
1.240540e+05  5.197300e-02
1.242030e+05  5.969900e-02
1.243520e+05  6.823900e-02
1.245010e+05  7.749600e-02
1.246500e+05  8.797100e-02
1.248010e+05  1.003300e-01
1.249510e+05  1.144200e-01
1.251010e+05  1.298000e-01
1.252530e+05  1.470000e-01
1.254040e+05  1.672700e-01
1.255560e+05  1.896500e-01
1.257080e+05  2.148400e-01
1.258610e+05  2.421500e-01
1.260140e+05  2.709600e-01
1.261670e+05  3.024500e-01
1.263210e+05  3.361000e-01
1.264750e+05  3.700700e-01
1.266290e+05  4.039600e-01
1.267840e+05  4.376200e-01
1.269390e+05  4.700600e-01
1.270950e+05  5.012700e-01
1.272500e+05  5.309300e-01
1.274070e+05  5.591700e-01
1.275640e+05  5.833800e-01
1.277210e+05  6.038000e-01
1.278780e+05  6.223400e-01
1.280360e+05  6.365800e-01
1.281940e+05  6.482600e-01
1.283530e+05  6.596500e-01
1.285120e+05  6.664900e-01
1.286710e+05  6.706000e-01
1.288310e+05  6.762400e-01
1.289910e+05  6.799400e-01
1.291520e+05  6.801400e-01
1.293130e+05  6.816900e-01
1.294750e+05  6.837000e-01
1.296360e+05  6.833100e-01
1.297990e+05  6.836300e-01
1.299610e+05  6.839700e-01
1.301240e+05  6.822800e-01
1.302880e+05  6.810800e-01
1.304520e+05  6.813700e-01
1.306160e+05  6.812300e-01
1.307810e+05  6.802700e-01
1.309460e+05  6.803600e-01
1.311110e+05  6.817500e-01
1.312770e+05  6.812200e-01
1.314440e+05  6.805800e-01
1.316110e+05  6.830500e-01
1.317780e+05  6.842000e-01
1.319450e+05  6.830600e-01
1.321140e+05  6.841200e-01
1.322820e+05  6.858200e-01
1.324510e+05  6.881300e-01
1.326200e+05  6.922000e-01
1.327900e+05  6.962100e-01
1.329610e+05  7.000200e-01
1.331310e+05  7.039000e-01
1.333020e+05  7.090600e-01
1.334740e+05  7.139700e-01
1.336460e+05  7.173700e-01
1.338180e+05  7.222000e-01
1.339910e+05  7.277700e-01
1.341640e+05  7.324600e-01
1.343380e+05  7.381600e-01
1.345130e+05  7.455900e-01
1.346870e+05  7.507400e-01
1.348620e+05  7.544300e-01
1.350380e+05  7.582500e-01
1.352140e+05  7.597100e-01
1.353910e+05  7.607800e-01
1.355680e+05  7.642300e-01
1.357450e+05  7.668400e-01
1.359230e+05  7.670100e-01
1.361010e+05  7.689100e-01
1.362800e+05  7.717900e-01
1.364590e+05  7.757300e-01
1.366390e+05  7.811400e-01
1.368190e+05  7.889500e-01
1.370000e+05  7.942000e-01
1.371820e+05  7.988300e-01
1.373630e+05  8.055400e-01
1.375450e+05  8.113000e-01
1.377280e+05  8.135800e-01
1.379110e+05  8.172500e-01
1.380950e+05  8.223200e-01
1.382790e+05  8.231100e-01
1.384630e+05  8.254700e-01
1.386490e+05  8.310200e-01
1.388340e+05  8.328900e-01
1.390200e+05  8.354500e-01
1.392070e+05  8.432800e-01
1.393940e+05  8.486600e-01
1.395820e+05  8.533500e-01
1.397700e+05  8.593300e-01
1.399580e+05  8.638500e-01
1.401470e+05  8.656300e-01
1.403370e+05  8.679000e-01
1.405270e+05  8.695700e-01
1.407180e+05  8.686000e-01
1.409090e+05  8.669300e-01
1.411010e+05  8.680800e-01
1.412930e+05  8.685000e-01
1.414860e+05  8.674400e-01
1.416790e+05  8.685700e-01
1.418730e+05  8.683200e-01
1.420670e+05  8.714600e-01
1.422620e+05  8.781300e-01
1.424580e+05  8.855000e-01
1.426540e+05  8.880400e-01
1.428500e+05  8.916400e-01
1.430470e+05  8.990700e-01
1.432450e+05  9.030900e-01
1.434430e+05  9.041100e-01
1.436420e+05  9.079500e-01
1.438410e+05  9.120800e-01
1.440400e+05  9.126400e-01
1.442410e+05  9.139300e-01
1.444420e+05  9.176700e-01
1.446430e+05  9.183300e-01
1.448450e+05  9.184900e-01
1.450480e+05  9.223300e-01
1.452510e+05  9.247700e-01
1.454550e+05  9.245000e-01
1.456590e+05  9.260200e-01
1.458640e+05  9.279800e-01
1.460690e+05  9.266900e-01
1.462750e+05  9.277800e-01
1.464820e+05  9.285000e-01
1.466890e+05  9.249300e-01
1.468970e+05  9.232700e-01
1.471050e+05  9.227400e-01
1.473140e+05  9.189400e-01
1.475240e+05  9.163200e-01
1.477340e+05  9.170500e-01
