# Wavelength(Angstrom)  Transmission
1.339910e+05  1.315100e-03
1.341640e+05  1.224600e-03
1.343380e+05  1.125900e-03
1.345130e+05  1.608700e-03
1.346870e+05  1.709900e-03
1.348620e+05  2.361900e-03
1.350380e+05  3.499300e-03
1.352140e+05  3.968100e-03
1.353910e+05  4.509100e-03
1.355680e+05  5.374700e-03
1.357450e+05  6.450900e-03
1.359230e+05  8.181900e-03
1.361010e+05  1.021400e-02
1.362800e+05  1.212700e-02
1.364590e+05  1.547200e-02
1.366390e+05  1.956800e-02
1.368190e+05  2.366000e-02
1.370000e+05  2.960400e-02
1.371820e+05  3.772500e-02
1.373630e+05  4.801400e-02
1.375450e+05  6.040600e-02
1.377280e+05  7.617800e-02
1.379110e+05  9.699900e-02
1.380950e+05  1.236600e-01
1.382790e+05  1.568000e-01
1.384630e+05  1.968300e-01
1.386490e+05  1.626100e-01
1.388340e+05  2.026700e-01
1.390200e+05  2.495800e-01
1.392070e+05  3.029700e-01
1.393940e+05  3.605600e-01
1.395820e+05  4.188400e-01
1.397700e+05  4.737900e-01
1.399580e+05  5.228400e-01
1.401470e+05  5.636100e-01
1.403370e+05  5.960700e-01
1.405270e+05  6.195300e-01
1.407180e+05  6.349600e-01
1.409090e+05  6.452100e-01
1.411010e+05  6.510800e-01
1.412930e+05  6.543200e-01
1.414860e+05  6.566000e-01
1.416790e+05  6.585200e-01
1.418730e+05  6.600400e-01
1.420670e+05  6.661400e-01
1.422620e+05  6.728700e-01
1.424580e+05  6.795600e-01
1.426540e+05  6.858400e-01
1.428500e+05  6.924800e-01
1.430470e+05  7.000800e-01
1.432450e+05  7.079900e-01
1.434430e+05  7.153800e-01
1.436420e+05  7.221200e-01
1.438410e+05  7.284400e-01
1.440400e+05  7.350200e-01
1.442410e+05  7.391700e-01
1.444420e+05  7.424700e-01
1.446430e+05  7.452500e-01
1.448450e+05  7.484700e-01
1.450480e+05  7.515800e-01
1.452510e+05  7.532300e-01
1.454550e+05  7.557200e-01
1.456590e+05  7.598500e-01
1.458640e+05  7.633200e-01
1.460690e+05  7.658300e-01
1.462750e+05  7.687600e-01
1.464820e+05  7.704800e-01
1.466890e+05  7.717200e-01
1.468970e+05  7.724200e-01
1.471050e+05  7.724800e-01
1.473140e+05  7.730300e-01
1.475240e+05  7.744700e-01
1.477340e+05  7.760400e-01
1.479450e+05  7.774900e-01
1.481560e+05  7.814200e-01
1.483680e+05  7.849100e-01
1.485810e+05  7.878900e-01
1.487940e+05  7.915300e-01
1.490070e+05  7.959200e-01
1.492220e+05  8.000000e-01
1.494370e+05  8.023200e-01
1.496530e+05  8.036600e-01
1.498690e+05  8.057300e-01
1.500860e+05  8.107500e-01
1.503030e+05  8.170900e-01
1.505210e+05  8.214400e-01
1.507400e+05  8.254200e-01
1.509600e+05  8.311800e-01
1.511800e+05  8.358700e-01
1.514000e+05  8.388000e-01
1.516220e+05  8.412600e-01
1.518440e+05  8.441000e-01
1.520660e+05  8.471200e-01
1.522890e+05  8.493000e-01
1.525140e+05  8.508800e-01
1.527380e+05  8.533500e-01
1.529630e+05  8.578700e-01
1.531890e+05  8.627600e-01
1.534160e+05  8.671800e-01
1.536430e+05  8.708000e-01
1.538710e+05  8.747700e-01
1.541000e+05  8.788400e-01
1.543290e+05  8.834900e-01
1.545590e+05  8.864000e-01
1.547900e+05  8.877400e-01
1.550210e+05  8.888000e-01
1.552530e+05  8.845700e-01
1.554860e+05  8.802400e-01
1.557190e+05  8.767300e-01
1.559540e+05  8.734900e-01
1.561880e+05  8.692500e-01
1.564240e+05  8.670700e-01
1.566600e+05  8.653400e-01
1.568970e+05  8.646300e-01
1.571350e+05  8.641600e-01
1.573740e+05  8.633000e-01
1.576130e+05  8.619400e-01
1.578530e+05  8.605400e-01
1.580930e+05  8.580500e-01
1.583350e+05  8.542100e-01
1.585770e+05  8.505500e-01
1.588200e+05  8.473000e-01
1.590630e+05  8.435000e-01
1.593070e+05  8.389800e-01
1.595530e+05  8.345300e-01
1.597980e+05  8.310900e-01
1.600450e+05  8.309000e-01
1.602920e+05  8.351000e-01
1.605410e+05  8.390500e-01
1.607890e+05  8.428000e-01
1.610390e+05  8.463600e-01
1.612900e+05  8.500900e-01
1.615410e+05  8.542200e-01
1.617930e+05  8.556100e-01
1.620460e+05  8.549200e-01
1.622990e+05  8.544700e-01
1.625540e+05  8.545400e-01
1.628090e+05  8.544000e-01
1.630650e+05  8.536200e-01
1.633210e+05  8.518300e-01
1.635790e+05  8.501300e-01
1.638380e+05  8.543800e-01
1.640970e+05  8.591600e-01
1.643570e+05  8.628200e-01
1.646180e+05  8.659200e-01
1.648790e+05  8.698500e-01
1.651420e+05  8.767100e-01
1.654050e+05  8.854500e-01
1.656700e+05  8.919900e-01
1.659350e+05  8.973000e-01
1.662010e+05  9.025400e-01
1.664670e+05  9.078600e-01
1.667350e+05  9.130100e-01
1.670030e+05  9.187900e-01
1.672730e+05  9.247300e-01
1.675430e+05  9.301500e-01
1.678140e+05  9.376800e-01
1.680860e+05  9.459500e-01
1.683590e+05  9.544900e-01
1.686330e+05  9.633400e-01
1.689080e+05  9.713500e-01
1.691830e+05  9.798000e-01
1.694590e+05  9.890000e-01
1.697370e+05  9.965600e-01
1.700150e+05  1.000000e+00
1.702940e+05  9.968400e-01
1.705740e+05  9.947400e-01
1.708550e+05  9.934700e-01
1.711370e+05  9.919300e-01
1.714200e+05  9.898600e-01
1.717040e+05  9.878000e-01
1.719890e+05  9.876000e-01
1.722740e+05  9.870200e-01
1.725610e+05  9.865000e-01
1.728490e+05  9.862400e-01
1.731370e+05  9.851000e-01
1.734270e+05  9.836500e-01
1.737170e+05  9.824600e-01
1.740090e+05  9.828000e-01
1.743010e+05  9.842600e-01
1.745950e+05  9.845000e-01
1.748890e+05  9.837800e-01
1.751840e+05  9.821100e-01
1.754810e+05  9.804600e-01
1.757780e+05  9.789200e-01
1.760770e+05  9.763900e-01
1.763760e+05  9.762800e-01
1.766770e+05  9.768500e-01
1.769780e+05  9.767200e-01
1.772810e+05  9.763000e-01
1.775840e+05  9.754100e-01
1.778890e+05  9.741300e-01
1.781950e+05  9.730000e-01
1.785010e+05  9.698300e-01
1.788090e+05  9.650800e-01
1.791180e+05  9.605000e-01
1.794280e+05  9.560800e-01
1.797390e+05  9.523000e-01
1.800510e+05  9.485800e-01
1.803640e+05  9.474000e-01
1.806780e+05  9.461000e-01
1.809930e+05  9.447000e-01
1.813100e+05  9.443100e-01
1.816270e+05  9.441000e-01
1.819460e+05  9.435500e-01
1.822660e+05  9.425200e-01
1.825870e+05  9.404400e-01
1.829090e+05  9.366300e-01
1.832320e+05  9.335300e-01
1.835560e+05  9.313900e-01
1.838810e+05  9.299200e-01
1.842080e+05  9.298700e-01
1.845360e+05  9.292500e-01
1.848650e+05  9.286200e-01
1.851950e+05  9.280400e-01
1.855260e+05  9.267800e-01
1.858590e+05  9.245900e-01
1.861920e+05  9.223700e-01
1.865270e+05  9.195700e-01
1.868630e+05  9.162900e-01
1.872010e+05  9.131200e-01
1.875390e+05  9.099900e-01
1.878790e+05  9.070000e-01
1.882200e+05  9.080900e-01
1.885620e+05  9.088300e-01
1.889060e+05  9.090800e-01
1.892500e+05  9.107100e-01
1.895960e+05  9.136600e-01
1.899440e+05  9.168600e-01
1.902920e+05  9.170500e-01
1.906420e+05  9.137600e-01
1.909930e+05  9.093600e-01
1.913450e+05  9.053900e-01
1.916990e+05  9.026600e-01
1.920540e+05  9.014900e-01
1.924100e+05  9.016600e-01
1.927680e+05  9.005100e-01
1.931270e+05  8.974800e-01
1.934870e+05  8.964100e-01
1.938490e+05  8.965600e-01
1.942120e+05  8.982000e-01
1.945760e+05  8.992100e-01
1.949420e+05  8.987100e-01
1.953090e+05  8.920400e-01
1.956780e+05  8.840800e-01
1.960480e+05  8.747900e-01
1.964190e+05  8.646000e-01
1.967920e+05  8.550900e-01
1.971660e+05  8.432400e-01
1.975410e+05  8.293800e-01
1.979180e+05  8.166400e-01
1.982970e+05  8.050800e-01
1.986770e+05  7.945100e-01
1.990580e+05  7.867200e-01
1.994410e+05  7.778600e-01
1.998250e+05  7.679400e-01
2.002110e+05  7.682100e-01
2.005980e+05  7.775500e-01
2.009870e+05  7.866900e-01
2.013770e+05  7.947300e-01
2.017690e+05  7.994800e-01
2.021620e+05  8.018900e-01
2.025570e+05  8.053900e-01
2.029530e+05  8.111700e-01
2.033510e+05  8.170500e-01
2.037510e+05  8.222900e-01
2.041520e+05  8.275000e-01
2.045550e+05  8.326700e-01
2.049590e+05  8.409300e-01
2.053650e+05  8.401400e-01
2.057720e+05  8.378800e-01
2.061810e+05  8.351500e-01
2.065920e+05  8.322800e-01
2.070040e+05  8.296900e-01
2.074180e+05  8.274700e-01
2.078340e+05  8.238200e-01
2.082510e+05  8.180900e-01
2.086700e+05  8.122800e-01
2.090910e+05  8.067100e-01
2.095130e+05  8.019000e-01
2.099380e+05  7.981000e-01
2.103640e+05  7.984400e-01
2.107910e+05  7.997000e-01
2.112200e+05  8.044300e-01
2.116510e+05  8.081000e-01
2.120840e+05  8.110600e-01
2.125190e+05  8.143200e-01
2.129550e+05  8.199200e-01
2.133930e+05  8.256300e-01
2.138330e+05  8.326500e-01
2.142750e+05  8.375100e-01
2.147190e+05  8.384200e-01
2.151640e+05  8.391200e-01
2.156120e+05  8.416100e-01
2.160610e+05  8.458900e-01
2.165120e+05  8.510900e-01
2.169650e+05  8.555800e-01
2.174200e+05  8.595700e-01
2.178760e+05  8.622300e-01
2.183350e+05  8.622600e-01
2.187960e+05  8.622700e-01
2.192580e+05  8.615900e-01
2.197230e+05  8.615300e-01
2.201890e+05  8.598600e-01
2.206580e+05  8.558300e-01
2.211280e+05  8.529000e-01
2.216010e+05  8.504400e-01
2.220750e+05  8.479300e-01
2.225520e+05  8.462300e-01
2.230300e+05  8.459000e-01
2.235110e+05  8.456100e-01
2.239940e+05  8.440400e-01
2.244790e+05  8.418300e-01
2.249660e+05  8.401600e-01
2.254550e+05  8.359500e-01
2.259460e+05  8.329700e-01
2.264390e+05  8.283300e-01
2.269350e+05  8.216300e-01
2.274320e+05  8.161500e-01
2.279320e+05  8.152700e-01
2.284340e+05  8.146100e-01
2.289390e+05  8.123700e-01
2.294450e+05  8.075900e-01
2.299540e+05  8.034700e-01
2.304650e+05  8.092300e-01
2.309780e+05  8.175000e-01
2.314940e+05  8.246100e-01
2.320120e+05  8.280000e-01
2.325320e+05  8.299900e-01
2.330540e+05  8.329700e-01
2.335790e+05  8.357400e-01
2.341070e+05  8.372000e-01
2.346360e+05  8.394600e-01
2.351680e+05  8.369300e-01
2.357030e+05  8.237200e-01
2.362400e+05  8.134900e-01
2.367790e+05  8.031000e-01
2.373210e+05  7.933200e-01
2.378650e+05  7.835400e-01
2.384120e+05  7.737300e-01
2.389610e+05  7.633200e-01
2.395130e+05  7.517400e-01
2.400680e+05  7.376000e-01
2.406250e+05  7.291300e-01
2.411840e+05  7.221000e-01
2.417460e+05  7.140300e-01
2.423110e+05  7.048600e-01
2.428790e+05  6.945800e-01
2.434490e+05  6.846000e-01
2.440220e+05  6.741900e-01
2.445970e+05  6.611600e-01
