# Wavelength(Angstrom)  Transmission
3.248000e+04  1.228200e-03
3.249000e+04  9.186400e-04
3.250100e+04  7.559600e-04
3.251100e+04  7.045600e-04
3.252100e+04  1.003000e-03
3.253100e+04  1.087700e-03
3.254100e+04  7.366900e-04
3.255200e+04  6.972800e-04
3.256200e+04  1.040300e-03
3.257200e+04  1.152400e-03
3.258200e+04  1.213800e-03
3.259200e+04  1.164600e-03
3.260300e+04  6.699400e-04
3.261300e+04  8.013500e-04
3.262300e+04  1.187000e-03
3.263400e+04  1.185300e-03
3.264400e+04  1.189500e-03
3.265400e+04  9.509200e-04
3.266400e+04  1.157100e-03
3.267500e+04  1.160300e-03
3.268500e+04  8.978000e-04
3.269500e+04  1.211500e-03
3.270600e+04  1.270900e-03
3.271600e+04  1.184100e-03
3.272600e+04  1.114900e-03
3.273600e+04  1.104900e-03
3.274700e+04  1.317200e-03
3.275700e+04  1.261800e-03
3.276800e+04  1.289000e-03
3.277800e+04  1.189300e-03
3.278800e+04  8.978200e-04
3.279900e+04  1.025500e-03
3.280900e+04  1.223000e-03
3.281900e+04  1.187000e-03
3.283000e+04  1.178000e-03
3.284000e+04  1.281700e-03
3.285000e+04  1.338600e-03
3.286100e+04  1.280600e-03
3.287100e+04  1.173600e-03
3.288200e+04  1.143800e-03
3.289200e+04  1.272300e-03
3.290300e+04  1.165300e-03
3.291300e+04  1.221600e-03
3.292400e+04  1.527900e-03
3.293400e+04  1.395500e-03
3.294500e+04  1.366400e-03
3.295500e+04  1.592500e-03
3.296500e+04  1.601000e-03
3.297600e+04  1.719400e-03
3.298600e+04  1.540000e-03
3.299700e+04  1.365000e-03
3.300700e+04  1.587200e-03
3.301800e+04  1.372000e-03
3.302800e+04  1.386400e-03
3.303900e+04  1.686900e-03
3.304900e+04  1.442600e-03
3.306000e+04  1.334900e-03
3.307000e+04  1.518500e-03
3.308100e+04  1.525200e-03
3.309200e+04  1.478000e-03
3.310200e+04  1.496100e-03
3.311300e+04  1.465900e-03
3.312300e+04  1.582600e-03
3.313400e+04  1.854700e-03
3.314500e+04  1.764000e-03
