# Wavelength(Angstrom)  Transmission
7.803500e+04  3.350600e-04
7.809400e+04  6.030900e-04
7.815300e+04  2.936700e-04
7.821200e+04  7.665400e-04
7.827100e+04  9.380800e-04
7.833000e+04  1.446100e-04
7.838900e+04  1.464100e-04
7.844900e+04  2.439900e-04
7.850800e+04  2.956300e-04
7.856800e+04  2.408900e-04
7.862700e+04  1.156300e-04
7.868700e+04  1.100600e-05
7.874700e+04  5.149600e-04
7.880600e+04  5.571800e-04
7.886600e+04  9.834500e-05
7.892600e+04  4.400500e-04
7.898600e+04  7.138800e-04
7.904700e+04  1.452500e-04
7.910700e+04  5.900900e-04
7.916700e+04  9.467600e-04
7.922800e+04  9.666000e-04
7.928800e+04  1.093300e-04
7.934900e+04  0.000000e+00
7.941000e+04  8.724600e-04
7.947100e+04  4.093500e-04
7.953200e+04  0.000000e+00
7.959300e+04  8.220400e-04
7.965400e+04  9.655600e-04
7.971500e+04  5.576600e-04
7.977600e+04  4.756900e-04
7.983800e+04  8.268900e-04
7.989900e+04  9.026000e-04
7.996100e+04  8.552000e-04
8.002300e+04  7.867300e-04
8.008400e+04  1.108100e-03
8.014600e+04  7.595200e-04
8.020800e+04  7.474700e-04
8.027000e+04  8.674100e-04
8.033200e+04  6.650900e-04
8.039500e+04  1.021300e-03
8.045700e+04  1.212200e-03
8.052000e+04  6.752900e-04
8.058200e+04  7.720000e-04
8.064500e+04  1.315500e-03
8.070800e+04  1.208000e-03
8.077000e+04  6.923400e-04
8.083300e+04  1.086700e-03
8.089600e+04  1.645500e-03
8.096000e+04  1.570400e-03
8.102300e+04  1.927500e-03
8.108600e+04  2.323900e-03
8.115000e+04  2.111700e-03
8.121300e+04  2.095300e-03
8.127700e+04  2.339700e-03
8.134100e+04  2.422100e-03
8.140400e+04  2.392600e-03
8.146800e+04  2.493400e-03
8.153200e+04  2.896400e-03
8.159700e+04  3.181500e-03
8.166100e+04  2.913200e-03
8.172500e+04  2.820400e-03
8.179000e+04  3.342900e-03
8.185400e+04  3.828900e-03
8.191900e+04  3.952400e-03
8.198400e+04  4.485700e-03
8.204800e+04  4.489800e-03
8.211300e+04  4.244700e-03
8.217800e+04  5.328100e-03
8.224400e+04  5.563200e-03
8.230900e+04  5.422100e-03
8.237400e+04  6.239400e-03
8.244000e+04  6.740200e-03
8.250500e+04  7.995800e-03
8.257100e+04  8.819600e-03
8.263700e+04  8.752800e-03
8.270300e+04  1.009700e-02
8.276900e+04  1.133800e-02
8.283500e+04  1.170200e-02
8.290100e+04  1.258600e-02
8.296700e+04  1.379500e-02
8.303400e+04  1.480800e-02
8.310000e+04  1.601800e-02
8.316700e+04  1.755900e-02
8.323400e+04  1.934000e-02
8.330100e+04  2.109300e-02
8.336800e+04  2.259100e-02
8.343500e+04  2.484600e-02
8.350200e+04  2.754100e-02
8.356900e+04  2.953000e-02
8.363600e+04  3.209600e-02
8.370400e+04  3.594400e-02
8.377200e+04  3.951000e-02
8.383900e+04  4.301500e-02
8.390700e+04  4.729300e-02
8.397500e+04  5.206900e-02
8.404300e+04  5.778700e-02
8.411100e+04  6.355200e-02
8.418000e+04  6.965500e-02
8.424800e+04  7.751900e-02
8.431600e+04  8.585100e-02
8.438500e+04  9.420800e-02
8.445400e+04  1.040700e-01
8.452300e+04  1.157000e-01
8.459200e+04  1.278700e-01
8.466100e+04  1.414800e-01
8.473000e+04  1.570000e-01
8.479900e+04  1.732600e-01
8.486800e+04  1.911200e-01
8.493800e+04  2.110800e-01
8.500800e+04  2.329800e-01
8.507700e+04  2.566300e-01
8.514700e+04  2.825000e-01
8.521700e+04  3.103100e-01
8.528700e+04  3.389400e-01
8.535700e+04  3.697100e-01
8.542800e+04  4.021000e-01
8.549800e+04  4.359300e-01
8.556900e+04  4.705100e-01
8.563900e+04  5.054500e-01
8.571000e+04  5.408600e-01
8.578100e+04  5.746700e-01
8.585200e+04  6.075700e-01
8.592300e+04  6.394500e-01
8.599400e+04  6.698500e-01
8.606600e+04  6.978100e-01
8.613700e+04  7.227800e-01
8.620900e+04  7.462500e-01
8.628100e+04  7.658100e-01
8.635200e+04  7.830000e-01
8.642400e+04  7.997700e-01
8.649600e+04  8.128400e-01
8.656900e+04  8.227500e-01
8.664100e+04  8.311900e-01
8.671300e+04  8.381100e-01
8.678600e+04  8.428800e-01
8.685900e+04  8.461400e-01
8.693100e+04  8.487800e-01
8.700400e+04  8.502700e-01
8.707700e+04  8.515400e-01
8.715100e+04  8.523100e-01
8.722400e+04  8.520400e-01
8.729700e+04  8.523300e-01
8.737100e+04  8.524600e-01
8.744400e+04  8.521100e-01
8.751800e+04  8.517900e-01
8.759200e+04  8.499900e-01
8.766600e+04  8.493100e-01
8.774000e+04  8.507900e-01
8.781500e+04  8.504400e-01
8.788900e+04  8.500000e-01
8.796400e+04  8.507000e-01
8.803800e+04  8.504400e-01
8.811300e+04  8.503900e-01
8.818800e+04  8.510100e-01
8.826300e+04  8.509800e-01
8.833800e+04  8.507000e-01
8.841400e+04  8.514300e-01
8.848900e+04  8.527700e-01
8.856500e+04  8.529500e-01
8.864000e+04  8.531600e-01
8.871600e+04  8.543500e-01
8.879200e+04  8.552300e-01
8.886800e+04  8.561700e-01
8.894400e+04  8.573400e-01
