# Wavelength(Angstrom)  Transmission
4.582800e+04  7.331800e-06
4.584800e+04  8.286000e-06
4.586900e+04  9.255200e-06
4.588900e+04  9.787600e-06
4.590900e+04  9.943600e-06
4.593000e+04  1.046600e-05
4.595000e+04  1.152300e-05
4.597000e+04  1.250300e-05
4.599100e+04  1.320700e-05
4.601100e+04  1.384800e-05
4.603200e+04  1.396800e-05
4.605200e+04  1.373600e-05
4.607200e+04  1.437500e-05
4.609300e+04  1.563000e-05
4.611300e+04  1.671700e-05
4.613400e+04  1.734900e-05
4.615500e+04  1.791300e-05
4.617500e+04  1.881900e-05
4.619600e+04  1.981000e-05
4.621600e+04  2.041100e-05
4.623700e+04  2.068700e-05
4.625700e+04  2.125800e-05
4.627800e+04  2.214400e-05
4.629900e+04  2.263500e-05
4.631900e+04  2.258000e-05
4.634000e+04  2.259300e-05
4.636100e+04  2.295900e-05
4.638200e+04  2.354800e-05
4.640200e+04  2.412100e-05
4.642300e+04  2.519700e-05
4.644400e+04  2.661900e-05
4.646500e+04  2.822700e-05
4.648600e+04  2.941300e-05
4.650600e+04  3.017200e-05
4.652700e+04  3.151800e-05
4.654800e+04  3.361100e-05
4.656900e+04  3.516600e-05
4.659000e+04  3.551800e-05
4.661100e+04  3.603200e-05
4.663200e+04  3.766000e-05
4.665300e+04  3.945200e-05
4.667400e+04  4.056400e-05
4.669500e+04  4.147300e-05
4.671600e+04  4.233200e-05
4.673700e+04  4.279000e-05
4.675800e+04  4.337800e-05
4.677900e+04  4.523200e-05
4.680000e+04  4.806600e-05
4.682100e+04  5.022000e-05
4.684200e+04  5.120400e-05
4.686400e+04  5.127200e-05
4.688500e+04  5.194800e-05
4.690600e+04  5.537100e-05
4.692700e+04  5.847600e-05
4.694800e+04  5.960100e-05
4.697000e+04  6.085200e-05
4.699100e+04  6.280100e-05
4.701200e+04  6.492900e-05
4.703400e+04  6.718400e-05
4.705500e+04  6.898300e-05
4.707600e+04  7.092300e-05
4.709800e+04  7.436700e-05
4.711900e+04  7.713100e-05
4.714100e+04  7.791500e-05
4.716200e+04  7.927900e-05
4.718300e+04  8.276100e-05
4.720500e+04  8.648500e-05
4.722600e+04  8.767900e-05
4.724800e+04  8.686900e-05
4.726900e+04  8.847400e-05
4.729100e+04  9.327300e-05
4.731300e+04  9.656600e-05
4.733400e+04  9.729100e-05
4.735600e+04  9.986800e-05
4.737700e+04  1.049600e-04
4.739900e+04  1.076800e-04
4.742100e+04  1.071700e-04
4.744200e+04  1.074200e-04
4.746400e+04  1.095200e-04
4.748600e+04  1.118200e-04
4.750800e+04  1.139900e-04
4.752900e+04  1.166600e-04
4.755100e+04  1.227400e-04
4.757300e+04  1.291300e-04
4.759500e+04  1.302700e-04
4.761700e+04  1.285100e-04
4.763900e+04  1.307600e-04
4.766000e+04  1.384200e-04
4.768200e+04  1.463900e-04
4.770400e+04  1.506700e-04
4.772600e+04  1.521600e-04
4.774800e+04  1.549900e-04
4.777000e+04  1.604500e-04
4.779200e+04  1.654200e-04
4.781400e+04  1.683800e-04
4.783600e+04  1.704900e-04
4.785800e+04  1.743500e-04
4.788100e+04  1.808400e-04
4.790300e+04  1.872300e-04
4.792500e+04  1.922600e-04
4.794700e+04  1.960900e-04
4.796900e+04  1.976100e-04
4.799100e+04  1.971000e-04
4.801400e+04  1.963400e-04
4.803600e+04  2.012200e-04
4.805800e+04  2.091800e-04
4.808000e+04  2.105400e-04
4.810300e+04  2.101700e-04
4.812500e+04  2.155100e-04
4.814700e+04  2.248400e-04
4.817000e+04  2.305000e-04
4.819200e+04  2.300900e-04
4.821400e+04  2.304500e-04
4.823700e+04  2.363100e-04
4.825900e+04  2.413600e-04
4.828200e+04  2.437500e-04
4.830400e+04  2.519600e-04
4.832700e+04  2.638400e-04
4.834900e+04  2.704600e-04
4.837200e+04  2.747000e-04
4.839400e+04  2.806400e-04
4.841700e+04  2.871800e-04
4.844000e+04  2.937600e-04
4.846200e+04  2.946600e-04
4.848500e+04  2.884800e-04
4.850800e+04  2.843000e-04
4.853000e+04  2.907700e-04
4.855300e+04  3.032300e-04
4.857600e+04  3.105700e-04
4.859800e+04  3.128000e-04
4.862100e+04  3.159600e-04
4.864400e+04  3.215500e-04
4.866700e+04  3.251500e-04
4.869000e+04  3.257300e-04
4.871300e+04  3.292900e-04
4.873600e+04  3.404000e-04
4.875800e+04  3.528100e-04
4.878100e+04  3.591400e-04
4.880400e+04  3.653800e-04
4.882700e+04  3.768700e-04
4.885000e+04  3.877500e-04
4.887300e+04  3.915800e-04
4.889600e+04  3.910400e-04
4.891900e+04  3.945400e-04
4.894300e+04  4.036900e-04
4.896600e+04  4.134800e-04
4.898900e+04  4.197200e-04
4.901200e+04  4.220800e-04
4.903500e+04  4.217300e-04
4.905800e+04  4.238700e-04
4.908100e+04  4.313200e-04
4.910500e+04  4.354200e-04
4.912800e+04  4.351400e-04
4.915100e+04  4.392300e-04
4.917500e+04  4.446000e-04
4.919800e+04  4.496800e-04
4.922100e+04  4.640000e-04
4.924500e+04  4.776900e-04
4.926800e+04  4.772600e-04
4.929100e+04  4.801400e-04
4.931500e+04  4.956300e-04
4.933800e+04  5.124600e-04
4.936200e+04  5.234800e-04
4.938500e+04  5.233400e-04
4.940900e+04  5.315800e-04
4.943200e+04  5.596900e-04
4.945600e+04  5.779700e-04
4.948000e+04  5.720400e-04
4.950300e+04  5.636400e-04
4.952700e+04  5.682000e-04
4.955000e+04  5.788900e-04
4.957400e+04  5.911300e-04
4.959800e+04  6.045000e-04
4.962200e+04  6.199400e-04
4.964500e+04  6.339800e-04
4.966900e+04  6.363200e-04
4.969300e+04  6.302900e-04
4.971700e+04  6.308900e-04
4.974100e+04  6.429100e-04
4.976400e+04  6.560700e-04
4.978800e+04  6.594100e-04
4.981200e+04  6.588000e-04
4.983600e+04  6.701600e-04
4.986000e+04  6.909400e-04
4.988400e+04  7.033700e-04
4.990800e+04  7.044300e-04
4.993200e+04  7.062000e-04
4.995600e+04  7.143300e-04
4.998000e+04  7.200100e-04
5.000400e+04  7.206000e-04
5.002900e+04  7.317900e-04
5.005300e+04  7.559200e-04
5.007700e+04  7.712100e-04
5.010100e+04  7.664800e-04
5.012500e+04  7.656700e-04
5.015000e+04  7.828900e-04
5.017400e+04  7.950500e-04
5.019800e+04  7.894000e-04
5.022200e+04  7.911700e-04
5.024700e+04  8.233200e-04
5.027100e+04  8.601300e-04
5.029500e+04  8.619300e-04
5.032000e+04  8.362100e-04
5.034400e+04  8.199900e-04
5.036900e+04  8.220500e-04
5.039300e+04  8.222100e-04
5.041800e+04  8.199200e-04
5.044200e+04  8.330800e-04
5.046700e+04  8.636000e-04
5.049100e+04  8.875800e-04
5.051600e+04  8.822400e-04
5.054100e+04  8.659500e-04
5.056500e+04  8.708600e-04
5.059000e+04  8.849600e-04
5.061500e+04  8.913900e-04
5.063900e+04  9.023500e-04
5.066400e+04  9.203100e-04
5.068900e+04  9.496900e-04
5.071400e+04  9.754000e-04
5.073800e+04  9.672900e-04
5.076300e+04  9.421200e-04
5.078800e+04  9.483200e-04
5.081300e+04  9.945000e-04
5.083800e+04  1.039600e-03
5.086300e+04  1.050700e-03
5.088800e+04  1.044100e-03
5.091300e+04  1.042800e-03
5.093800e+04  1.036800e-03
5.096300e+04  1.017500e-03
5.098800e+04  1.017300e-03
5.101300e+04  1.052200e-03
5.103800e+04  1.073200e-03
5.106300e+04  1.060600e-03
5.108800e+04  1.059300e-03
5.111300e+04  1.076100e-03
5.113900e+04  1.085100e-03
5.116400e+04  1.088000e-03
5.118900e+04  1.099300e-03
5.121400e+04  1.124600e-03
5.124000e+04  1.154400e-03
5.126500e+04  1.167900e-03
5.129000e+04  1.156700e-03
5.131600e+04  1.148500e-03
5.134100e+04  1.168600e-03
5.136700e+04  1.189800e-03
5.139200e+04  1.186000e-03
5.141800e+04  1.172900e-03
5.144300e+04  1.164200e-03
5.146900e+04  1.152500e-03
5.149400e+04  1.140500e-03
5.152000e+04  1.165200e-03
5.154500e+04  1.232400e-03
5.157100e+04  1.294500e-03
5.159700e+04  1.312500e-03
5.162200e+04  1.279300e-03
5.164800e+04  1.233400e-03
5.167400e+04  1.220600e-03
5.169900e+04  1.233600e-03
5.172500e+04  1.245200e-03
5.175100e+04  1.247300e-03
5.177700e+04  1.253400e-03
5.180300e+04  1.272800e-03
5.182900e+04  1.280500e-03
5.185500e+04  1.250300e-03
5.188100e+04  1.214800e-03
5.190600e+04  1.216900e-03
5.193200e+04  1.231200e-03
5.195900e+04  1.233900e-03
5.198500e+04  1.245900e-03
5.201100e+04  1.276000e-03
5.203700e+04  1.316400e-03
5.206300e+04  1.344800e-03
5.208900e+04  1.341500e-03
5.211500e+04  1.333800e-03
5.214100e+04  1.342100e-03
5.216800e+04  1.347100e-03
5.219400e+04  1.343500e-03
5.222000e+04  1.350700e-03
5.224600e+04  1.389200e-03
5.227300e+04  1.424200e-03
5.229900e+04  1.410200e-03
5.232600e+04  1.389600e-03
5.235200e+04  1.398300e-03
5.237800e+04  1.401000e-03
5.240500e+04  1.389500e-03
5.243100e+04  1.392700e-03
5.245800e+04  1.408500e-03
5.248400e+04  1.422700e-03
5.251100e+04  1.431900e-03
5.253800e+04  1.424600e-03
5.256400e+04  1.419600e-03
5.259100e+04  1.454000e-03
5.261800e+04  1.497300e-03
5.264400e+04  1.500700e-03
5.267100e+04  1.475700e-03
5.269800e+04  1.459300e-03
5.272500e+04  1.456800e-03
5.275100e+04  1.455500e-03
5.277800e+04  1.448400e-03
5.280500e+04  1.438600e-03
5.283200e+04  1.423400e-03
5.285900e+04  1.398500e-03
5.288600e+04  1.411100e-03
5.291300e+04  1.473000e-03
5.294000e+04  1.513200e-03
5.296700e+04  1.516700e-03
5.299400e+04  1.506500e-03
5.302100e+04  1.505000e-03
5.304800e+04  1.541100e-03
5.307500e+04  1.565100e-03
5.310200e+04  1.533800e-03
5.313000e+04  1.499400e-03
5.315700e+04  1.501200e-03
5.318400e+04  1.520500e-03
5.321100e+04  1.530500e-03
5.323900e+04  1.521100e-03
5.326600e+04  1.518000e-03
5.329400e+04  1.559700e-03
5.332100e+04  1.614200e-03
5.334800e+04  1.606500e-03
5.337600e+04  1.551500e-03
5.340300e+04  1.541600e-03
5.343100e+04  1.577000e-03
5.345800e+04  1.576600e-03
5.348600e+04  1.553900e-03
5.351400e+04  1.573700e-03
5.354100e+04  1.609600e-03
5.356900e+04  1.613400e-03
5.359600e+04  1.598300e-03
5.362400e+04  1.604200e-03
5.365200e+04  1.643000e-03
5.368000e+04  1.676700e-03
5.370700e+04  1.666200e-03
5.373500e+04  1.624000e-03
5.376300e+04  1.614700e-03
5.379100e+04  1.651300e-03
5.381900e+04  1.657300e-03
5.384700e+04  1.635800e-03
5.387500e+04  1.670800e-03
5.390300e+04  1.726500e-03
5.393100e+04  1.710800e-03
5.395900e+04  1.659400e-03
5.398700e+04  1.658000e-03
5.401500e+04  1.696700e-03
5.404300e+04  1.717900e-03
5.407200e+04  1.718200e-03
5.410000e+04  1.719100e-03
5.412800e+04  1.719000e-03
5.415600e+04  1.721000e-03
5.418500e+04  1.736100e-03
5.421300e+04  1.747300e-03
5.424100e+04  1.735000e-03
5.427000e+04  1.725200e-03
5.429800e+04  1.710600e-03
5.432600e+04  1.668700e-03
5.435500e+04  1.642700e-03
5.438300e+04  1.668700e-03
5.441200e+04  1.718000e-03
5.444100e+04  1.744400e-03
5.446900e+04  1.745300e-03
5.449800e+04  1.747700e-03
5.452600e+04  1.760100e-03
5.455500e+04  1.753800e-03
5.458400e+04  1.711200e-03
5.461300e+04  1.698400e-03
5.464100e+04  1.756600e-03
5.467000e+04  1.819600e-03
5.469900e+04  1.816500e-03
5.472800e+04  1.748200e-03
5.475700e+04  1.708300e-03
5.478600e+04  1.720800e-03
5.481500e+04  1.731000e-03
5.484400e+04  1.775500e-03
5.487300e+04  1.849000e-03
5.490200e+04  1.870200e-03
5.493100e+04  1.843100e-03
5.496000e+04  1.810600e-03
5.498900e+04  1.799400e-03
5.501800e+04  1.810400e-03
5.504700e+04  1.818600e-03
5.507700e+04  1.806300e-03
5.510600e+04  1.784400e-03
5.513500e+04  1.781800e-03
5.516400e+04  1.793600e-03
5.519400e+04  1.813700e-03
5.522300e+04  1.845100e-03
5.525300e+04  1.850000e-03
5.528200e+04  1.813800e-03
5.531200e+04  1.766000e-03
5.534100e+04  1.711700e-03
5.537100e+04  1.681500e-03
5.540000e+04  1.710400e-03
5.543000e+04  1.748500e-03
5.545900e+04  1.747900e-03
5.548900e+04  1.739000e-03
5.551900e+04  1.767200e-03
5.554900e+04  1.827700e-03
5.557800e+04  1.840800e-03
5.560800e+04  1.786200e-03
5.563800e+04  1.764600e-03
5.566800e+04  1.817300e-03
5.569800e+04  1.851500e-03
5.572800e+04  1.826100e-03
5.575800e+04  1.830600e-03
5.578800e+04  1.882500e-03
5.581800e+04  1.888300e-03
5.584800e+04  1.816800e-03
5.587800e+04  1.731400e-03
5.590800e+04  1.711700e-03
5.593800e+04  1.756900e-03
5.596800e+04  1.796600e-03
