# Wavelength(Angstrom)  Transmission
6.100000e+03  1.066812e-04
6.110000e+03  1.498279e-04
6.120000e+03  2.164892e-04
6.130000e+03  3.100122e-04
6.140000e+03  4.593181e-04
6.150000e+03  7.050411e-04
6.160000e+03  1.088254e-03
6.170000e+03  1.756528e-03
6.180000e+03  2.967477e-03
6.190000e+03  5.110959e-03
6.200000e+03  8.959073e-03
6.210000e+03  1.402383e-02
6.220000e+03  2.271678e-02
6.230000e+03  3.678328e-02
6.240000e+03  5.831096e-02
6.250000e+03  8.941859e-02
6.260000e+03  1.314997e-01
6.270000e+03  1.850140e-01
6.280000e+03  2.486420e-01
6.290000e+03  3.199509e-01
6.300000e+03  3.945348e-01
6.310000e+03  4.684844e-01
6.320000e+03  5.374195e-01
6.330000e+03  5.969091e-01
6.340000e+03  6.458597e-01
6.350000e+03  6.832151e-01
6.360000e+03  7.108775e-01
6.370000e+03  7.286698e-01
6.380000e+03  7.390302e-01
6.390000e+03  7.382728e-01
6.400000e+03  7.284574e-01
6.410000e+03  7.106087e-01
6.420000e+03  6.939500e-01
6.430000e+03  6.834282e-01
6.440000e+03  6.787299e-01
6.450000e+03  6.783742e-01
6.460000e+03  6.799057e-01
6.470000e+03  6.835733e-01
6.480000e+03  6.872459e-01
6.490000e+03  6.900839e-01
6.500000e+03  6.932457e-01
6.510000e+03  6.954783e-01
6.520000e+03  6.968187e-01
6.530000e+03  6.978080e-01
6.540000e+03  6.985263e-01
6.550000e+03  6.991653e-01
6.560000e+03  7.004509e-01
6.570000e+03  7.014552e-01
6.580000e+03  7.034172e-01
6.590000e+03  7.045534e-01
6.600000e+03  7.068345e-01
6.610000e+03  7.084591e-01
6.620000e+03  7.104904e-01
6.630000e+03  7.120964e-01
6.640000e+03  7.144859e-01
6.650000e+03  7.168661e-01
6.660000e+03  7.193727e-01
6.670000e+03  7.215978e-01
6.680000e+03  7.232692e-01
6.690000e+03  7.246185e-01
6.700000e+03  7.258579e-01
6.710000e+03  7.278084e-01
6.720000e+03  7.283970e-01
6.730000e+03  7.304366e-01
6.740000e+03  7.310977e-01
6.750000e+03  7.314582e-01
6.760000e+03  7.313763e-01
6.770000e+03  7.316059e-01
6.780000e+03  7.319752e-01
6.790000e+03  7.322034e-01
6.800000e+03  7.317729e-01
6.810000e+03  7.312232e-01
6.820000e+03  7.304333e-01
6.830000e+03  7.299384e-01
6.840000e+03  7.295747e-01
6.850000e+03  7.295530e-01
6.860000e+03  7.295986e-01
6.870000e+03  7.297434e-01
6.880000e+03  7.300466e-01
6.890000e+03  7.311000e-01
6.900000e+03  7.311262e-01
6.910000e+03  7.320949e-01
6.920000e+03  7.336335e-01
6.930000e+03  7.327556e-01
6.940000e+03  7.340720e-01
6.950000e+03  7.341997e-01
6.960000e+03  7.351210e-01
6.970000e+03  7.356805e-01
6.980000e+03  7.361462e-01
6.990000e+03  7.372648e-01
7.000000e+03  7.375911e-01
7.010000e+03  7.379639e-01
7.020000e+03  7.367824e-01
7.030000e+03  7.367417e-01
7.040000e+03  7.376645e-01
7.050000e+03  7.377587e-01
7.060000e+03  7.378281e-01
7.070000e+03  7.369723e-01
7.080000e+03  7.360695e-01
7.090000e+03  7.354133e-01
7.100000e+03  7.351913e-01
7.110000e+03  7.347277e-01
7.120000e+03  7.340452e-01
7.130000e+03  7.332587e-01
7.140000e+03  7.328627e-01
7.150000e+03  7.317705e-01
7.160000e+03  7.316074e-01
7.170000e+03  7.316007e-01
7.180000e+03  7.309549e-01
7.190000e+03  7.308768e-01
7.200000e+03  7.322348e-01
