# Wavelength(Angstrom)  Transmission
7.000000e+03  0.000000e+00
7.050000e+03  5.000000e-03
7.100000e+03  2.000000e-02
7.150000e+03  5.000000e-02
7.200000e+03  1.000000e-01
7.250000e+03  1.700000e-01
7.300000e+03  3.300000e-01
7.350000e+03  7.000000e-01
7.400000e+03  8.200000e-01
7.450000e+03  9.000000e-01
7.500000e+03  9.500000e-01
7.550000e+03  9.800000e-01
7.600000e+03  9.900000e-01
7.650000e+03  9.940000e-01
7.700000e+03  9.800000e-01
7.750000e+03  9.500000e-01
7.800000e+03  9.130000e-01
7.850000e+03  8.700000e-01
7.900000e+03  8.300000e-01
7.950000e+03  7.900000e-01
8.000000e+03  7.500000e-01
8.050000e+03  7.100000e-01
8.100000e+03  6.730000e-01
8.150000e+03  6.500000e-01
8.200000e+03  6.300000e-01
8.250000e+03  6.100000e-01
8.300000e+03  5.800000e-01
8.350000e+03  5.500000e-01
8.400000e+03  5.100000e-01
8.450000e+03  4.700000e-01
8.500000e+03  4.050000e-01
8.550000e+03  3.300000e-01
8.600000e+03  2.500000e-01
8.650000e+03  1.800000e-01
8.700000e+03  1.400000e-01
8.750000e+03  1.100000e-01
8.800000e+03  8.000000e-02
8.850000e+03  6.000000e-02
8.900000e+03  3.500000e-02
8.950000e+03  2.000000e-02
9.000000e+03  1.000000e-02
9.050000e+03  5.000000e-03
9.100000e+03  0.000000e+00
