# Wavelength(Angstrom)  Transmission
5.400000e+03  0.000000e+00
5.450000e+03  2.000000e-03
5.500000e+03  1.000000e-02
5.550000e+03  3.000000e-02
5.600000e+03  7.000000e-02
5.650000e+03  1.800000e-01
5.700000e+03  4.000000e-01
5.750000e+03  7.700000e-01
5.800000e+03  8.900000e-01
5.850000e+03  9.600000e-01
5.900000e+03  9.900000e-01
5.950000e+03  9.990000e-01
6.000000e+03  1.000000e+00
6.050000e+03  9.970000e-01
6.100000e+03  9.900000e-01
6.150000e+03  9.760000e-01
6.200000e+03  9.600000e-01
6.250000e+03  9.460000e-01
6.300000e+03  9.300000e-01
6.350000e+03  9.120000e-01
6.400000e+03  8.950000e-01
6.450000e+03  8.800000e-01
6.500000e+03  8.600000e-01
6.550000e+03  8.450000e-01
6.600000e+03  8.250000e-01
6.650000e+03  8.060000e-01
6.700000e+03  7.880000e-01
6.750000e+03  7.650000e-01
6.800000e+03  7.420000e-01
6.850000e+03  7.200000e-01
6.900000e+03  7.000000e-01
6.950000e+03  6.760000e-01
7.000000e+03  6.500000e-01
7.050000e+03  6.260000e-01
7.100000e+03  6.000000e-01
7.150000e+03  5.680000e-01
7.200000e+03  5.300000e-01
7.250000e+03  4.800000e-01
7.300000e+03  3.950000e-01
7.350000e+03  3.000000e-01
7.400000e+03  2.150000e-01
7.450000e+03  1.550000e-01
7.500000e+03  1.200000e-01
7.550000e+03  1.000000e-01
7.600000e+03  8.500000e-02
7.650000e+03  7.500000e-02
7.700000e+03  6.000000e-02
7.750000e+03  5.000000e-02
7.800000e+03  4.000000e-02
7.850000e+03  2.900000e-02
7.900000e+03  2.000000e-02
7.950000e+03  1.000000e-02
8.000000e+03  0.000000e+00
