# Wavelength(Angstrom)  Transmission
6.800000e+03  0.000000e+00
7.000000e+03  1.000000e-02
7.200000e+03  1.700000e-01
7.400000e+03  3.600000e-01
7.600000e+03  5.600000e-01
7.800000e+03  7.600000e-01
8.000000e+03  9.600000e-01
8.200000e+03  9.800000e-01
8.400000e+03  9.900000e-01
8.600000e+03  1.000000e+00
8.800000e+03  9.800000e-01
9.000000e+03  9.300000e-01
9.200000e+03  8.400000e-01
9.400000e+03  7.100000e-01
9.600000e+03  5.800000e-01
9.800000e+03  4.700000e-01
1.000000e+04  3.600000e-01
1.020000e+04  2.800000e-01
1.040000e+04  2.000000e-01
1.060000e+04  1.500000e-01
1.080000e+04  1.000000e-01
1.100000e+04  8.000000e-02
1.120000e+04  5.000000e-02
1.140000e+04  3.000000e-02
1.160000e+04  2.000000e-02
1.200000e+04  0.000000e+00
