# Wavelength(Angstrom)  Transmission
5.200000e+03  0.000000e+00
5.400000e+03  6.000000e-02
5.600000e+03  2.800000e-01
5.800000e+03  5.000000e-01
6.000000e+03  6.900000e-01
6.200000e+03  7.900000e-01
6.400000e+03  8.800000e-01
6.600000e+03  9.400000e-01
6.800000e+03  9.800000e-01
7.000000e+03  1.000000e+00
7.200000e+03  9.400000e-01
7.400000e+03  8.500000e-01
7.600000e+03  7.300000e-01
7.800000e+03  5.700000e-01
8.000000e+03  4.200000e-01
8.200000e+03  3.100000e-01
8.400000e+03  1.700000e-01
8.600000e+03  1.100000e-01
8.800000e+03  6.000000e-02
9.000000e+03  4.000000e-02
9.200000e+03  2.000000e-02
9.400000e+03  1.000000e-02
9.600000e+03  0.000000e+00
