# Wavelength(Angstrom)  Transmission
3.920000e+03  1.000000e-03
3.930000e+03  2.000000e-03
3.940000e+03  4.000000e-03
3.950000e+03  7.000000e-03
3.960000e+03  1.200000e-02
3.970000e+03  2.100000e-02
3.980000e+03  3.500000e-02
3.990000e+03  5.300000e-02
4.000000e+03  7.300000e-02
4.010000e+03  9.600000e-02
4.020000e+03  1.180000e-01
4.030000e+03  1.350000e-01
4.040000e+03  1.470000e-01
4.050000e+03  1.570000e-01
4.060000e+03  1.630000e-01
4.070000e+03  1.670000e-01
4.080000e+03  1.710000e-01
4.090000e+03  1.750000e-01
4.100000e+03  1.810000e-01
4.110000e+03  1.860000e-01
4.120000e+03  1.920000e-01
4.130000e+03  1.990000e-01
4.140000e+03  2.040000e-01
4.150000e+03  2.060000e-01
4.160000e+03  2.080000e-01
4.170000e+03  2.110000e-01
4.180000e+03  2.170000e-01
4.190000e+03  2.250000e-01
4.200000e+03  2.330000e-01
4.210000e+03  2.400000e-01
4.220000e+03  2.460000e-01
4.230000e+03  2.490000e-01
4.240000e+03  2.500000e-01
4.250000e+03  2.500000e-01
4.260000e+03  2.530000e-01
4.270000e+03  2.590000e-01
4.280000e+03  2.680000e-01
4.290000e+03  2.770000e-01
4.300000e+03  2.860000e-01
4.310000e+03  2.950000e-01
4.320000e+03  3.000000e-01
4.330000e+03  3.020000e-01
4.340000e+03  3.020000e-01
4.350000e+03  3.040000e-01
4.360000e+03  3.090000e-01
4.370000e+03  3.160000e-01
4.380000e+03  3.230000e-01
4.390000e+03  3.300000e-01
4.400000e+03  3.360000e-01
4.410000e+03  3.400000e-01
4.420000e+03  3.410000e-01
4.430000e+03  3.420000e-01
4.440000e+03  3.440000e-01
4.450000e+03  3.480000e-01
4.460000e+03  3.540000e-01
4.470000e+03  3.610000e-01
4.480000e+03  3.680000e-01
4.490000e+03  3.740000e-01
4.500000e+03  3.800000e-01
4.510000e+03  3.860000e-01
4.520000e+03  3.920000e-01
4.530000e+03  3.960000e-01
4.540000e+03  3.980000e-01
4.550000e+03  3.980000e-01
4.560000e+03  3.940000e-01
4.570000e+03  3.880000e-01
4.580000e+03  3.840000e-01
4.590000e+03  3.820000e-01
4.600000e+03  3.840000e-01
4.610000e+03  3.880000e-01
4.620000e+03  3.930000e-01
4.630000e+03  3.960000e-01
4.640000e+03  3.960000e-01
4.650000e+03  3.960000e-01
4.660000e+03  3.970000e-01
4.670000e+03  3.970000e-01
4.680000e+03  3.990000e-01
4.690000e+03  4.000000e-01
4.700000e+03  4.010000e-01
4.710000e+03  4.020000e-01
4.720000e+03  4.030000e-01
4.730000e+03  4.050000e-01
4.740000e+03  4.080000e-01
4.750000e+03  4.130000e-01
4.760000e+03  4.180000e-01
4.770000e+03  4.240000e-01
4.780000e+03  4.310000e-01
4.790000e+03  4.370000e-01
4.800000e+03  4.410000e-01
4.810000e+03  4.440000e-01
4.820000e+03  4.460000e-01
4.830000e+03  4.480000e-01
4.840000e+03  4.510000e-01
4.850000e+03  4.530000e-01
4.860000e+03  4.560000e-01
4.870000e+03  4.580000e-01
4.880000e+03  4.600000e-01
4.890000e+03  4.600000e-01
4.900000e+03  4.590000e-01
4.910000e+03  4.550000e-01
4.920000e+03  4.510000e-01
4.930000e+03  4.500000e-01
4.940000e+03  4.530000e-01
4.950000e+03  4.590000e-01
4.960000e+03  4.630000e-01
4.970000e+03  4.670000e-01
4.980000e+03  4.710000e-01
4.990000e+03  4.720000e-01
5.000000e+03  4.710000e-01
5.010000e+03  4.680000e-01
5.020000e+03  4.660000e-01
5.030000e+03  4.630000e-01
5.040000e+03  4.590000e-01
5.050000e+03  4.570000e-01
5.060000e+03  4.560000e-01
5.070000e+03  4.550000e-01
5.080000e+03  4.560000e-01
5.090000e+03  4.560000e-01
5.100000e+03  4.570000e-01
5.110000e+03  4.580000e-01
5.120000e+03  4.590000e-01
5.130000e+03  4.610000e-01
5.140000e+03  4.650000e-01
5.150000e+03  4.690000e-01
5.160000e+03  4.730000e-01
5.170000e+03  4.750000e-01
5.180000e+03  4.760000e-01
5.190000e+03  4.750000e-01
5.200000e+03  4.730000e-01
5.210000e+03  4.720000e-01
5.220000e+03  4.730000e-01
5.230000e+03  4.730000e-01
5.240000e+03  4.740000e-01
5.250000e+03  4.730000e-01
5.260000e+03  4.720000e-01
5.270000e+03  4.740000e-01
5.280000e+03  4.770000e-01
5.290000e+03  4.830000e-01
5.300000e+03  4.890000e-01
5.310000e+03  4.950000e-01
5.320000e+03  4.980000e-01
5.330000e+03  5.000000e-01
5.340000e+03  5.010000e-01
5.350000e+03  5.020000e-01
5.360000e+03  5.020000e-01
5.370000e+03  5.020000e-01
5.380000e+03  5.020000e-01
5.390000e+03  5.020000e-01
5.400000e+03  5.010000e-01
5.410000e+03  5.000000e-01
5.420000e+03  4.960000e-01
5.430000e+03  4.930000e-01
5.440000e+03  4.890000e-01
5.450000e+03  4.860000e-01
5.460000e+03  4.810000e-01
5.470000e+03  4.670000e-01
5.480000e+03  4.380000e-01
5.490000e+03  3.900000e-01
5.500000e+03  3.230000e-01
5.510000e+03  2.480000e-01
5.520000e+03  1.750000e-01
5.530000e+03  1.130000e-01
5.540000e+03  6.800000e-02
5.550000e+03  4.100000e-02
5.560000e+03  2.500000e-02
5.570000e+03  1.500000e-02
5.580000e+03  9.000000e-03
5.590000e+03  6.000000e-03
5.600000e+03  3.000000e-03
5.610000e+03  2.000000e-03
5.620000e+03  2.000000e-03
5.630000e+03  1.000000e-03
