# Wavelength(Angstrom)  Transmission
6.710000e+03  1.000000e-03
6.720000e+03  2.000000e-03
6.730000e+03  2.000000e-03
6.740000e+03  3.000000e-03
6.750000e+03  4.000000e-03
6.760000e+03  5.000000e-03
6.770000e+03  7.000000e-03
6.780000e+03  9.000000e-03
6.790000e+03  1.200000e-02
6.800000e+03  1.600000e-02
6.810000e+03  2.200000e-02
6.820000e+03  2.900000e-02
6.830000e+03  3.900000e-02
6.840000e+03  5.600000e-02
6.850000e+03  8.400000e-02
6.860000e+03  1.330000e-01
6.870000e+03  1.690000e-01
6.880000e+03  2.640000e-01
6.890000e+03  3.500000e-01
6.900000e+03  4.260000e-01
6.910000e+03  5.120000e-01
6.920000e+03  5.910000e-01
6.930000e+03  6.700000e-01
6.940000e+03  7.370000e-01
6.950000e+03  7.920000e-01
6.960000e+03  8.210000e-01
6.970000e+03  8.430000e-01
6.980000e+03  8.480000e-01
6.990000e+03  8.460000e-01
7.000000e+03  8.480000e-01
7.010000e+03  8.470000e-01
7.020000e+03  8.470000e-01
7.030000e+03  8.450000e-01
7.040000e+03  8.480000e-01
7.050000e+03  8.490000e-01
7.060000e+03  8.520000e-01
7.070000e+03  8.530000e-01
7.080000e+03  8.510000e-01
7.090000e+03  8.490000e-01
7.100000e+03  8.470000e-01
7.110000e+03  8.470000e-01
7.120000e+03  8.490000e-01
7.130000e+03  8.520000e-01
7.140000e+03  8.550000e-01
7.150000e+03  8.570000e-01
7.160000e+03  8.590000e-01
7.170000e+03  8.440000e-01
7.180000e+03  8.330000e-01
7.190000e+03  8.160000e-01
7.200000e+03  8.250000e-01
7.210000e+03  8.420000e-01
7.220000e+03  8.630000e-01
7.230000e+03  8.460000e-01
7.240000e+03  8.330000e-01
7.250000e+03  8.330000e-01
7.260000e+03  8.420000e-01
7.270000e+03  8.350000e-01
7.280000e+03  8.330000e-01
7.290000e+03  8.310000e-01
7.300000e+03  8.380000e-01
7.310000e+03  8.280000e-01
7.320000e+03  8.380000e-01
7.330000e+03  8.460000e-01
7.340000e+03  8.500000e-01
7.350000e+03  8.530000e-01
7.360000e+03  8.570000e-01
7.370000e+03  8.600000e-01
7.380000e+03  8.640000e-01
7.390000e+03  8.640000e-01
7.400000e+03  8.650000e-01
7.410000e+03  8.650000e-01
7.420000e+03  8.660000e-01
7.430000e+03  8.650000e-01
7.440000e+03  8.650000e-01
7.450000e+03  8.650000e-01
7.460000e+03  8.650000e-01
7.470000e+03  8.650000e-01
7.480000e+03  8.650000e-01
7.490000e+03  8.670000e-01
7.500000e+03  8.680000e-01
7.510000e+03  8.680000e-01
7.520000e+03  8.690000e-01
7.530000e+03  8.680000e-01
7.540000e+03  8.680000e-01
7.550000e+03  8.670000e-01
7.560000e+03  8.660000e-01
7.570000e+03  8.640000e-01
7.580000e+03  8.630000e-01
7.590000e+03  8.600000e-01
7.600000e+03  4.080000e-01
7.610000e+03  3.310000e-01
7.620000e+03  6.550000e-01
7.630000e+03  4.560000e-01
7.640000e+03  5.620000e-01
7.650000e+03  6.400000e-01
7.660000e+03  7.300000e-01
7.670000e+03  7.830000e-01
7.680000e+03  8.330000e-01
7.690000e+03  8.450000e-01
7.700000e+03  8.590000e-01
7.710000e+03  8.650000e-01
7.720000e+03  8.650000e-01
7.730000e+03  8.630000e-01
7.740000e+03  8.600000e-01
7.750000e+03  8.580000e-01
7.760000e+03  8.550000e-01
7.770000e+03  8.530000e-01
7.780000e+03  8.510000e-01
7.790000e+03  8.480000e-01
7.800000e+03  8.440000e-01
7.810000e+03  8.420000e-01
7.820000e+03  8.410000e-01
7.830000e+03  8.400000e-01
7.840000e+03  8.380000e-01
7.850000e+03  8.360000e-01
7.860000e+03  8.330000e-01
7.870000e+03  8.300000e-01
7.880000e+03  8.280000e-01
7.890000e+03  8.240000e-01
7.900000e+03  8.200000e-01
7.910000e+03  8.220000e-01
7.920000e+03  8.240000e-01
7.930000e+03  8.270000e-01
7.940000e+03  8.340000e-01
7.950000e+03  8.380000e-01
7.960000e+03  8.380000e-01
7.970000e+03  8.430000e-01
7.980000e+03  8.460000e-01
7.990000e+03  8.440000e-01
8.000000e+03  8.410000e-01
8.010000e+03  8.380000e-01
8.020000e+03  8.350000e-01
8.030000e+03  8.340000e-01
8.040000e+03  8.320000e-01
8.050000e+03  8.300000e-01
8.060000e+03  8.280000e-01
8.070000e+03  8.240000e-01
8.080000e+03  8.210000e-01
8.090000e+03  8.170000e-01
8.100000e+03  8.130000e-01
8.110000e+03  8.100000e-01
8.120000e+03  8.040000e-01
8.130000e+03  7.980000e-01
8.140000e+03  7.800000e-01
8.150000e+03  7.670000e-01
8.160000e+03  7.280000e-01
8.170000e+03  6.840000e-01
8.180000e+03  6.090000e-01
8.190000e+03  5.230000e-01
8.200000e+03  4.080000e-01
8.210000e+03  3.130000e-01
8.220000e+03  2.210000e-01
8.230000e+03  1.420000e-01
8.240000e+03  1.040000e-01
8.250000e+03  7.100000e-02
8.260000e+03  4.700000e-02
8.270000e+03  3.300000e-02
8.280000e+03  2.100000e-02
8.290000e+03  1.500000e-02
8.300000e+03  1.000000e-02
8.310000e+03  7.000000e-03
8.320000e+03  5.000000e-03
8.330000e+03  4.000000e-03
8.340000e+03  3.000000e-03
8.350000e+03  2.000000e-03
8.360000e+03  2.000000e-03
8.370000e+03  1.000000e-03
