# Wavelength(Angstrom)  Transmission
9.000000e+03  1.000000e-03
9.010000e+03  2.000000e-03
9.020000e+03  2.000000e-03
9.030000e+03  2.000000e-03
9.040000e+03  2.000000e-03
9.050000e+03  2.000000e-03
9.060000e+03  3.000000e-03
9.070000e+03  3.000000e-03
9.080000e+03  3.000000e-03
9.090000e+03  5.000000e-03
9.100000e+03  6.000000e-03
9.110000e+03  9.000000e-03
9.120000e+03  1.500000e-02
9.130000e+03  2.400000e-02
9.140000e+03  4.000000e-02
9.150000e+03  6.600000e-02
9.160000e+03  9.800000e-02
9.170000e+03  1.520000e-01
9.180000e+03  1.990000e-01
9.190000e+03  2.710000e-01
9.200000e+03  3.350000e-01
9.210000e+03  4.030000e-01
9.220000e+03  4.510000e-01
9.230000e+03  5.060000e-01
9.240000e+03  5.390000e-01
9.250000e+03  5.650000e-01
9.260000e+03  5.910000e-01
9.270000e+03  6.150000e-01
9.280000e+03  5.970000e-01
9.290000e+03  6.010000e-01
9.300000e+03  5.700000e-01
9.310000e+03  5.430000e-01
9.320000e+03  5.010000e-01
9.330000e+03  4.860000e-01
9.340000e+03  4.350000e-01
9.350000e+03  4.640000e-01
9.360000e+03  4.010000e-01
9.370000e+03  4.350000e-01
9.380000e+03  4.410000e-01
9.390000e+03  5.130000e-01
9.400000e+03  5.290000e-01
9.410000e+03  4.980000e-01
9.420000e+03  4.990000e-01
9.430000e+03  4.310000e-01
9.440000e+03  4.190000e-01
9.450000e+03  4.710000e-01
9.460000e+03  3.860000e-01
9.470000e+03  4.590000e-01
9.480000e+03  4.040000e-01
9.490000e+03  4.870000e-01
9.500000e+03  3.490000e-01
9.510000e+03  4.800000e-01
9.520000e+03  3.860000e-01
9.530000e+03  4.220000e-01
9.540000e+03  4.350000e-01
9.550000e+03  4.130000e-01
9.560000e+03  4.020000e-01
9.570000e+03  3.880000e-01
9.580000e+03  4.120000e-01
9.590000e+03  3.950000e-01
9.600000e+03  4.010000e-01
9.610000e+03  4.010000e-01
9.620000e+03  3.940000e-01
9.630000e+03  3.990000e-01
9.640000e+03  3.860000e-01
9.650000e+03  3.870000e-01
9.660000e+03  3.820000e-01
9.670000e+03  3.810000e-01
9.680000e+03  3.880000e-01
9.690000e+03  3.900000e-01
9.700000e+03  3.780000e-01
9.710000e+03  3.800000e-01
9.720000e+03  3.680000e-01
9.730000e+03  3.580000e-01
9.740000e+03  3.490000e-01
9.750000e+03  3.410000e-01
9.760000e+03  3.370000e-01
9.770000e+03  3.350000e-01
9.780000e+03  3.270000e-01
9.790000e+03  3.260000e-01
9.800000e+03  3.150000e-01
9.810000e+03  3.180000e-01
9.820000e+03  3.110000e-01
9.830000e+03  3.020000e-01
9.840000e+03  3.010000e-01
9.850000e+03  2.920000e-01
9.860000e+03  2.900000e-01
9.870000e+03  2.820000e-01
9.880000e+03  2.740000e-01
9.890000e+03  2.680000e-01
9.900000e+03  2.600000e-01
9.910000e+03  2.550000e-01
9.920000e+03  2.500000e-01
9.930000e+03  2.430000e-01
9.940000e+03  2.380000e-01
9.950000e+03  2.320000e-01
9.960000e+03  2.270000e-01
9.970000e+03  2.210000e-01
9.980000e+03  2.160000e-01
9.990000e+03  2.110000e-01
1.000000e+04  2.050000e-01
1.001000e+04  2.000000e-01
1.002000e+04  1.950000e-01
1.003000e+04  1.890000e-01
1.004000e+04  1.830000e-01
1.005000e+04  1.780000e-01
1.006000e+04  1.730000e-01
1.007000e+04  1.680000e-01
1.008000e+04  1.620000e-01
1.009000e+04  1.570000e-01
1.010000e+04  1.520000e-01
1.011000e+04  1.470000e-01
1.012000e+04  1.410000e-01
1.013000e+04  1.360000e-01
1.014000e+04  1.310000e-01
1.015000e+04  1.270000e-01
1.016000e+04  1.240000e-01
1.017000e+04  1.200000e-01
1.018000e+04  1.160000e-01
1.019000e+04  1.110000e-01
1.020000e+04  1.060000e-01
1.021000e+04  1.020000e-01
1.022000e+04  9.700000e-02
1.023000e+04  9.400000e-02
1.024000e+04  9.100000e-02
1.025000e+04  8.800000e-02
1.026000e+04  8.400000e-02
1.027000e+04  8.100000e-02
1.028000e+04  7.800000e-02
1.029000e+04  7.500000e-02
1.030000e+04  7.100000e-02
1.031000e+04  6.700000e-02
1.032000e+04  6.400000e-02
1.033000e+04  6.000000e-02
1.034000e+04  5.700000e-02
1.035000e+04  5.500000e-02
1.036000e+04  5.300000e-02
1.037000e+04  5.000000e-02
1.038000e+04  4.800000e-02
1.039000e+04  4.500000e-02
1.040000e+04  4.300000e-02
1.041000e+04  4.100000e-02
1.042000e+04  3.900000e-02
1.043000e+04  3.700000e-02
1.044000e+04  3.600000e-02
1.045000e+04  3.500000e-02
1.046000e+04  3.400000e-02
1.047000e+04  3.300000e-02
1.048000e+04  3.200000e-02
1.049000e+04  3.000000e-02
1.050000e+04  2.900000e-02
1.051000e+04  2.800000e-02
1.052000e+04  2.700000e-02
1.053000e+04  2.600000e-02
1.054000e+04  2.500000e-02
1.055000e+04  2.400000e-02
1.056000e+04  2.300000e-02
1.057000e+04  2.200000e-02
1.058000e+04  2.100000e-02
1.059000e+04  2.000000e-02
1.060000e+04  1.900000e-02
1.061000e+04  1.800000e-02
1.062000e+04  1.700000e-02
1.063000e+04  1.600000e-02
1.064000e+04  1.500000e-02
1.065000e+04  1.500000e-02
1.066000e+04  1.400000e-02
1.067000e+04  1.400000e-02
1.068000e+04  1.300000e-02
1.069000e+04  1.200000e-02
1.070000e+04  1.200000e-02
1.071000e+04  1.100000e-02
1.072000e+04  1.100000e-02
1.073000e+04  1.100000e-02
1.074000e+04  1.000000e-02
1.075000e+04  1.000000e-02
1.076000e+04  9.000000e-03
1.077000e+04  9.000000e-03
1.078000e+04  8.000000e-03
1.079000e+04  8.000000e-03
1.080000e+04  8.000000e-03
1.081000e+04  7.000000e-03
1.082000e+04  7.000000e-03
1.083000e+04  7.000000e-03
1.084000e+04  6.000000e-03
1.085000e+04  6.000000e-03
1.086000e+04  6.000000e-03
1.087000e+04  6.000000e-03
1.088000e+04  5.000000e-03
1.089000e+04  5.000000e-03
1.090000e+04  5.000000e-03
1.091000e+04  5.000000e-03
1.092000e+04  4.000000e-03
1.093000e+04  4.000000e-03
1.094000e+04  4.000000e-03
1.095000e+04  4.000000e-03
1.096000e+04  3.000000e-03
1.097000e+04  3.000000e-03
1.098000e+04  3.000000e-03
1.099000e+04  3.000000e-03
1.100000e+04  2.000000e-03
