# Wavelength(Angstrom)  Transmission
7.930000e+03  1.000000e-03
7.940000e+03  2.000000e-03
7.950000e+03  2.000000e-03
7.960000e+03  2.000000e-03
7.970000e+03  3.000000e-03
7.980000e+03  4.000000e-03
7.990000e+03  5.000000e-03
8.000000e+03  6.000000e-03
8.010000e+03  7.000000e-03
8.020000e+03  8.000000e-03
8.030000e+03  9.000000e-03
8.040000e+03  1.200000e-02
8.050000e+03  1.500000e-02
8.060000e+03  1.900000e-02
8.070000e+03  2.500000e-02
8.080000e+03  3.400000e-02
8.090000e+03  4.500000e-02
8.100000e+03  6.000000e-02
8.110000e+03  7.900000e-02
8.120000e+03  1.010000e-01
8.130000e+03  1.290000e-01
8.140000e+03  1.600000e-01
8.150000e+03  2.030000e-01
8.160000e+03  2.520000e-01
8.170000e+03  3.180000e-01
8.180000e+03  3.970000e-01
8.190000e+03  4.990000e-01
8.200000e+03  5.880000e-01
8.210000e+03  6.960000e-01
8.220000e+03  7.610000e-01
8.230000e+03  7.500000e-01
8.240000e+03  8.330000e-01
8.250000e+03  8.490000e-01
8.260000e+03  8.500000e-01
8.270000e+03  8.630000e-01
8.280000e+03  8.390000e-01
8.290000e+03  8.600000e-01
8.300000e+03  8.580000e-01
8.310000e+03  8.570000e-01
8.320000e+03  8.450000e-01
8.330000e+03  8.620000e-01
8.340000e+03  8.570000e-01
8.350000e+03  8.670000e-01
8.360000e+03  8.670000e-01
8.370000e+03  8.770000e-01
8.380000e+03  8.790000e-01
8.390000e+03  8.800000e-01
8.400000e+03  8.800000e-01
8.410000e+03  8.760000e-01
8.420000e+03  8.730000e-01
8.430000e+03  8.710000e-01
8.440000e+03  8.690000e-01
8.450000e+03  8.690000e-01
8.460000e+03  8.680000e-01
8.470000e+03  8.680000e-01
8.480000e+03  8.670000e-01
8.490000e+03  8.660000e-01
8.500000e+03  8.650000e-01
8.510000e+03  8.630000e-01
8.520000e+03  8.610000e-01
8.530000e+03  8.580000e-01
8.540000e+03  8.550000e-01
8.550000e+03  8.540000e-01
8.560000e+03  8.520000e-01
8.570000e+03  8.500000e-01
8.580000e+03  8.480000e-01
8.590000e+03  8.480000e-01
8.600000e+03  8.490000e-01
8.610000e+03  8.500000e-01
8.620000e+03  8.510000e-01
8.630000e+03  8.500000e-01
8.640000e+03  8.490000e-01
8.650000e+03  8.490000e-01
8.660000e+03  8.480000e-01
8.670000e+03  8.460000e-01
8.680000e+03  8.450000e-01
8.690000e+03  8.430000e-01
8.700000e+03  8.400000e-01
8.710000e+03  8.390000e-01
8.720000e+03  8.370000e-01
8.730000e+03  8.350000e-01
8.740000e+03  8.330000e-01
8.750000e+03  8.320000e-01
8.760000e+03  8.310000e-01
8.770000e+03  8.290000e-01
8.780000e+03  8.270000e-01
8.790000e+03  8.240000e-01
8.800000e+03  8.200000e-01
8.810000e+03  8.160000e-01
8.820000e+03  8.100000e-01
8.830000e+03  8.060000e-01
8.840000e+03  8.010000e-01
8.850000e+03  7.960000e-01
8.860000e+03  7.920000e-01
8.870000e+03  7.900000e-01
8.880000e+03  7.870000e-01
8.890000e+03  7.860000e-01
8.900000e+03  7.830000e-01
8.910000e+03  7.830000e-01
8.920000e+03  7.810000e-01
8.930000e+03  7.770000e-01
8.940000e+03  7.730000e-01
8.950000e+03  7.640000e-01
8.960000e+03  7.470000e-01
8.970000e+03  7.230000e-01
8.980000e+03  7.270000e-01
8.990000e+03  6.710000e-01
9.000000e+03  7.190000e-01
9.010000e+03  6.970000e-01
9.020000e+03  7.100000e-01
9.030000e+03  6.910000e-01
9.040000e+03  7.300000e-01
9.050000e+03  7.250000e-01
9.060000e+03  7.140000e-01
9.070000e+03  6.870000e-01
9.080000e+03  6.880000e-01
9.090000e+03  6.940000e-01
9.100000e+03  6.830000e-01
9.110000e+03  6.910000e-01
9.120000e+03  6.800000e-01
9.130000e+03  6.660000e-01
9.140000e+03  6.530000e-01
9.150000e+03  6.590000e-01
9.160000e+03  6.250000e-01
9.170000e+03  6.420000e-01
9.180000e+03  5.920000e-01
9.190000e+03  5.900000e-01
9.200000e+03  5.490000e-01
9.210000e+03  5.040000e-01
9.220000e+03  4.290000e-01
9.230000e+03  3.610000e-01
9.240000e+03  2.830000e-01
9.250000e+03  2.140000e-01
9.260000e+03  1.580000e-01
9.270000e+03  1.160000e-01
9.280000e+03  7.900000e-02
9.290000e+03  5.700000e-02
9.300000e+03  3.900000e-02
9.310000e+03  2.800000e-02
9.320000e+03  1.900000e-02
9.330000e+03  1.400000e-02
9.340000e+03  1.000000e-02
9.350000e+03  8.000000e-03
9.360000e+03  6.000000e-03
9.370000e+03  5.000000e-03
9.380000e+03  4.000000e-03
9.390000e+03  4.000000e-03
9.400000e+03  4.000000e-03
9.410000e+03  3.000000e-03
9.420000e+03  2.000000e-03
9.430000e+03  2.000000e-03
9.440000e+03  2.000000e-03
9.450000e+03  1.000000e-03
