# Wavelength(Angstrom)  Transmission
9.003000e+03  1.700000e-03
9.003500e+03  2.100000e-03
9.004000e+03  2.500000e-03
9.004500e+03  2.900000e-03
9.005000e+03  3.400000e-03
9.005500e+03  2.300000e-03
9.006000e+03  1.300000e-03
9.006500e+03  3.000000e-04
9.007000e+03  2.000000e-04
9.007500e+03  3.000000e-04
9.008000e+03  4.000000e-04
9.008500e+03  9.000000e-04
9.009000e+03  1.400000e-03
9.009500e+03  2.100000e-03
9.010000e+03  2.900000e-03
9.010500e+03  2.100000e-03
9.011000e+03  1.400000e-03
9.011500e+03  8.000000e-04
9.012000e+03  3.000000e-04
9.012500e+03  1.000000e-04
9.013000e+03  1.000000e-04
9.013500e+03  4.000000e-04
9.014000e+03  1.200000e-03
9.014500e+03  2.000000e-03
9.015000e+03  2.800000e-03
9.015500e+03  2.100000e-03
9.016000e+03  1.400000e-03
9.016500e+03  8.000000e-04
9.017000e+03  4.000000e-04
9.017500e+03  6.000000e-04
9.018000e+03  3.000000e-04
9.018500e+03  9.000000e-04
9.019000e+03  1.700000e-03
9.019500e+03  2.600000e-03
9.020000e+03  3.500000e-03
9.020500e+03  2.500000e-03
9.021000e+03  1.500000e-03
9.021500e+03  9.000000e-04
9.022000e+03  1.000000e-03
9.022500e+03  1.600000e-03
9.023000e+03  1.600000e-03
9.023500e+03  1.600000e-03
9.024000e+03  1.800000e-03
9.024500e+03  2.000000e-03
9.025000e+03  2.400000e-03
9.025500e+03  1.800000e-03
9.026000e+03  1.100000e-03
9.026500e+03  6.000000e-04
9.027000e+03  2.000000e-04
9.027500e+03  1.000000e-04
9.028000e+03  4.000000e-04
9.028500e+03  1.000000e-03
9.029000e+03  1.700000e-03
9.029500e+03  2.400000e-03
9.030000e+03  3.100000e-03
9.030500e+03  2.600000e-03
9.031000e+03  2.100000e-03
9.031500e+03  1.700000e-03
9.032000e+03  1.900000e-03
9.032500e+03  2.300000e-03
9.033000e+03  2.200000e-03
9.033500e+03  2.200000e-03
9.034000e+03  2.200000e-03
9.034500e+03  2.300000e-03
9.035000e+03  2.500000e-03
9.035500e+03  2.000000e-03
9.036000e+03  1.600000e-03
9.036500e+03  1.500000e-03
9.037000e+03  1.400000e-03
9.037500e+03  1.500000e-03
9.038000e+03  1.200000e-03
9.038500e+03  1.200000e-03
9.039000e+03  1.600000e-03
9.039500e+03  2.300000e-03
9.040000e+03  2.900000e-03
9.040500e+03  2.800000e-03
9.041000e+03  2.700000e-03
9.041500e+03  2.600000e-03
9.042000e+03  2.800000e-03
9.042500e+03  3.100000e-03
9.043000e+03  2.200000e-03
9.043500e+03  1.500000e-03
9.044000e+03  1.100000e-03
9.044500e+03  9.000000e-04
9.045000e+03  9.000000e-04
9.045500e+03  9.000000e-04
9.046000e+03  9.000000e-04
9.046500e+03  1.200000e-03
9.047000e+03  1.700000e-03
9.047500e+03  2.900000e-03
9.048000e+03  2.700000e-03
9.048500e+03  2.800000e-03
9.049000e+03  3.100000e-03
9.049500e+03  3.300000e-03
9.050000e+03  3.600000e-03
9.050500e+03  3.000000e-03
9.051000e+03  2.500000e-03
9.051500e+03  2.200000e-03
9.052000e+03  2.100000e-03
9.052500e+03  2.200000e-03
9.053000e+03  2.000000e-03
9.053500e+03  1.900000e-03
9.054000e+03  1.700000e-03
9.054500e+03  1.600000e-03
9.055000e+03  1.600000e-03
