# Wavelength(Angstrom)  Transmission
3.840000e+03  0.000000e+00
3.850000e+03  1.000000e-04
3.860000e+03  1.000000e-04
3.870000e+03  1.000000e-04
3.880000e+03  1.000000e-04
3.890000e+03  1.000000e-04
3.900000e+03  1.000000e-04
3.910000e+03  3.000000e-04
3.920000e+03  4.000000e-04
3.930000e+03  8.000000e-04
3.940000e+03  2.300000e-03
3.950000e+03  5.800000e-03
3.960000e+03  1.270000e-02
3.970000e+03  2.560000e-02
3.980000e+03  5.050000e-02
3.990000e+03  9.690000e-02
4.000000e+03  1.630000e-01
4.010000e+03  2.274000e-01
4.020000e+03  2.693000e-01
4.030000e+03  2.885000e-01
4.040000e+03  2.966000e-01
4.050000e+03  3.018000e-01
4.060000e+03  3.062000e-01
4.070000e+03  3.113000e-01
4.080000e+03  3.181000e-01
4.090000e+03  3.227000e-01
4.100000e+03  3.282000e-01
4.110000e+03  3.329000e-01
4.120000e+03  3.381000e-01
4.130000e+03  3.416000e-01
4.140000e+03  3.459000e-01
4.150000e+03  3.507000e-01
4.160000e+03  3.556000e-01
4.170000e+03  3.602000e-01
4.180000e+03  3.647000e-01
4.190000e+03  3.700000e-01
4.200000e+03  3.749000e-01
4.210000e+03  3.776000e-01
4.220000e+03  3.815000e-01
4.230000e+03  3.855000e-01
4.240000e+03  3.894000e-01
4.250000e+03  3.948000e-01
4.260000e+03  3.965000e-01
4.270000e+03  4.000000e-01
4.280000e+03  4.016000e-01
4.290000e+03  4.041000e-01
4.300000e+03  4.090000e-01
4.310000e+03  4.146000e-01
4.320000e+03  4.203000e-01
4.330000e+03  4.242000e-01
4.340000e+03  4.283000e-01
4.350000e+03  4.319000e-01
4.360000e+03  4.350000e-01
4.370000e+03  4.383000e-01
4.380000e+03  4.411000e-01
4.390000e+03  4.451000e-01
4.400000e+03  4.496000e-01
4.410000e+03  4.528000e-01
4.420000e+03  4.551000e-01
4.430000e+03  4.589000e-01
4.440000e+03  4.622000e-01
4.450000e+03  4.648000e-01
4.460000e+03  4.693000e-01
4.470000e+03  4.728000e-01
4.480000e+03  4.754000e-01
4.490000e+03  4.791000e-01
4.500000e+03  4.819000e-01
4.510000e+03  4.847000e-01
4.520000e+03  4.860000e-01
4.530000e+03  4.887000e-01
4.540000e+03  4.927000e-01
4.550000e+03  4.958000e-01
4.560000e+03  4.992000e-01
4.570000e+03  5.023000e-01
4.580000e+03  5.057000e-01
