# Wavelength(Angstrom)  Transmission
6.503000e+03  5.000000e-03
6.507300e+03  4.900000e-03
6.511600e+03  5.000000e-03
6.516000e+03  4.600000e-03
6.520300e+03  4.800000e-03
6.524600e+03  4.900000e-03
6.528900e+03  5.000000e-03
6.533300e+03  4.900000e-03
6.537600e+03  5.100000e-03
6.541900e+03  4.800000e-03
6.546300e+03  5.000000e-03
6.550600e+03  5.100000e-03
6.554900e+03  5.000000e-03
6.559200e+03  5.000000e-03
6.563600e+03  5.000000e-03
6.567900e+03  4.700000e-03
6.572200e+03  4.900000e-03
6.576600e+03  5.000000e-03
6.580900e+03  5.300000e-03
6.585200e+03  5.100000e-03
6.589500e+03  5.200000e-03
6.593900e+03  5.300000e-03
6.598200e+03  5.100000e-03
6.602500e+03  5.100000e-03
6.606900e+03  5.100000e-03
6.611200e+03  5.300000e-03
6.615500e+03  5.400000e-03
6.619900e+03  5.100000e-03
6.624200e+03  5.300000e-03
6.628500e+03  5.200000e-03
6.632900e+03  5.100000e-03
6.637200e+03  5.000000e-03
6.641500e+03  5.200000e-03
6.645900e+03  5.000000e-03
6.650200e+03  5.300000e-03
6.654600e+03  5.000000e-03
6.658900e+03  5.100000e-03
6.663200e+03  5.600000e-03
6.667600e+03  5.300000e-03
6.671900e+03  5.500000e-03
6.676200e+03  5.200000e-03
6.680600e+03  5.300000e-03
6.684900e+03  5.100000e-03
6.689300e+03  5.500000e-03
6.693600e+03  5.500000e-03
6.697900e+03  5.200000e-03
6.702300e+03  5.500000e-03
6.706600e+03  5.600000e-03
6.711000e+03  5.600000e-03
6.715300e+03  5.200000e-03
6.719600e+03  5.500000e-03
6.724000e+03  5.300000e-03
6.728300e+03  5.500000e-03
6.732700e+03  5.500000e-03
6.737000e+03  5.600000e-03
6.741400e+03  5.500000e-03
6.745700e+03  5.500000e-03
6.750000e+03  5.900000e-03
6.754400e+03  5.900000e-03
6.758700e+03  5.500000e-03
6.763100e+03  5.600000e-03
6.767400e+03  5.800000e-03
6.771800e+03  5.700000e-03
6.776100e+03  5.900000e-03
6.780500e+03  5.800000e-03
6.784800e+03  5.600000e-03
6.789200e+03  5.800000e-03
6.793500e+03  5.800000e-03
6.797900e+03  5.900000e-03
6.802200e+03  5.800000e-03
6.806600e+03  6.000000e-03
6.810900e+03  6.000000e-03
6.815300e+03  6.000000e-03
6.819600e+03  6.100000e-03
6.824000e+03  6.600000e-03
6.828300e+03  6.300000e-03
6.832700e+03  6.200000e-03
6.837000e+03  6.500000e-03
6.841400e+03  6.600000e-03
6.845700e+03  6.900000e-03
6.850100e+03  7.000000e-03
6.854400e+03  6.900000e-03
6.858800e+03  7.200000e-03
6.863100e+03  7.500000e-03
6.867500e+03  7.800000e-03
6.871800e+03  8.300000e-03
6.876200e+03  8.500000e-03
