# Wavelength(Angstrom)  Transmission
5.001900e+03  9.700000e-03
5.006100e+03  9.800000e-03
5.010300e+03  9.700000e-03
5.014400e+03  9.400000e-03
5.018600e+03  9.500000e-03
5.022800e+03  1.000000e-02
5.027000e+03  9.800000e-03
5.031100e+03  9.400000e-03
5.035300e+03  9.700000e-03
5.039500e+03  9.800000e-03
5.043700e+03  1.000000e-02
5.047900e+03  9.900000e-03
5.052100e+03  9.700000e-03
5.056200e+03  9.600000e-03
5.060400e+03  9.400000e-03
5.064600e+03  9.900000e-03
5.068800e+03  9.900000e-03
5.073000e+03  9.500000e-03
5.077200e+03  9.800000e-03
5.081400e+03  9.700000e-03
5.085500e+03  9.700000e-03
5.089700e+03  9.600000e-03
5.093900e+03  9.900000e-03
5.098100e+03  9.500000e-03
5.102300e+03  1.000000e-02
5.106500e+03  9.800000e-03
5.110700e+03  1.000000e-02
5.114900e+03  1.000000e-02
5.119000e+03  1.010000e-02
5.123200e+03  1.000000e-02
5.127400e+03  9.600000e-03
5.131600e+03  9.800000e-03
5.135800e+03  1.010000e-02
5.140000e+03  1.020000e-02
5.144200e+03  1.010000e-02
5.148400e+03  1.010000e-02
5.152600e+03  1.000000e-02
5.156800e+03  9.900000e-03
5.161000e+03  9.800000e-03
5.165200e+03  1.030000e-02
5.169400e+03  1.020000e-02
5.173600e+03  1.070000e-02
5.177700e+03  1.030000e-02
5.181900e+03  1.010000e-02
5.186100e+03  1.010000e-02
5.190300e+03  9.800000e-03
5.194500e+03  1.000000e-02
5.198700e+03  1.030000e-02
5.202900e+03  9.900000e-03
5.207100e+03  1.050000e-02
5.211300e+03  1.020000e-02
5.215500e+03  1.000000e-02
5.219700e+03  1.030000e-02
5.223900e+03  1.030000e-02
5.228100e+03  1.030000e-02
5.232300e+03  1.040000e-02
5.236500e+03  1.050000e-02
5.240700e+03  1.050000e-02
5.244900e+03  1.060000e-02
5.249100e+03  1.080000e-02
5.253300e+03  1.050000e-02
5.257600e+03  1.080000e-02
5.261800e+03  1.050000e-02
5.266000e+03  1.060000e-02
5.270200e+03  1.090000e-02
5.274400e+03  1.120000e-02
5.278600e+03  1.130000e-02
5.282800e+03  1.140000e-02
5.287000e+03  1.170000e-02
5.291200e+03  1.180000e-02
5.295400e+03  1.160000e-02
5.299600e+03  1.240000e-02
5.303800e+03  1.240000e-02
5.308000e+03  1.270000e-02
5.312200e+03  1.300000e-02
5.316500e+03  1.320000e-02
5.320700e+03  1.440000e-02
5.324900e+03  1.470000e-02
5.329100e+03  1.540000e-02
5.333300e+03  1.580000e-02
5.337500e+03  1.700000e-02
5.341700e+03  1.760000e-02
5.345900e+03  1.820000e-02
5.350200e+03  1.960000e-02
5.354400e+03  2.080000e-02
5.358600e+03  2.160000e-02
5.362800e+03  2.310000e-02
5.367000e+03  2.430000e-02
5.371200e+03  2.620000e-02
5.375400e+03  2.810000e-02
5.379700e+03  3.070000e-02
5.383900e+03  3.340000e-02
5.388100e+03  3.660000e-02
5.392300e+03  4.110000e-02
5.396500e+03  4.600000e-02
5.400800e+03  5.200000e-02
5.405000e+03  5.910000e-02
5.409200e+03  6.820000e-02
5.413400e+03  7.800000e-02
5.417600e+03  8.980000e-02
5.421900e+03  1.035000e-01
5.426100e+03  1.183000e-01
5.430300e+03  1.355000e-01
5.434500e+03  1.549000e-01
5.438700e+03  1.754000e-01
